step,exp,game_name,algorithm_name,log_exp
0,0.3333333333333333,NFG-2,Algorithm_4_452,-1.0986122886681098
20,0.042509717789283474,NFG-2,Algorithm_4_452,-3.1580225753235833
40,0.00949795857688629,NFG-2,Algorithm_4_452,-4.656678390110633
60,0.011041483059509305,NFG-2,Algorithm_4_452,-4.506095912054859
80,0.003558966782079148,NFG-2,Algorithm_4_452,-5.638285005996051
100,0.002783114781458068,NFG-2,Algorithm_4_452,-5.884184553502299
120,0.004565012039723815,NFG-2,Algorithm_4_452,-5.389334127540257
140,0.0018560864514949593,NFG-2,Algorithm_4_452,-6.289285066233651
160,0.002507101751552082,NFG-2,Algorithm_4_452,-5.988627873652313
180,0.0027445740592312307,NFG-2,Algorithm_4_452,-5.898129385739672
200,0.0019569409688158512,NFG-2,Algorithm_4_452,-6.236372755143813
220,0.0022645602844677815,NFG-2,Algorithm_4_452,-6.090374673786569
240,0.0015517667531009527,NFG-2,Algorithm_4_452,-6.468361156465893
260,0.0009874141472102915,NFG-2,Algorithm_4_452,-6.920421004502339
280,0.001319132359715397,NFG-2,Algorithm_4_452,-6.630781061748256
300,0.0011671684918226066,NFG-2,Algorithm_4_452,-6.753174555788835
320,0.0010907785275870996,NFG-2,Algorithm_4_452,-6.8208635922002525
340,0.0008934750495246668,NFG-2,Algorithm_4_452,-7.020392148181472
360,0.0013592561806280712,NFG-2,Algorithm_4_452,-6.600817654861533
380,0.0008626224572476915,NFG-2,Algorithm_4_452,-7.0555334397192695
400,0.0005284956702372445,NFG-2,Algorithm_4_452,-7.545475945237693
420,0.0007523891850631514,NFG-2,Algorithm_4_452,-7.192256834559961
440,0.0007754214000960935,NFG-2,Algorithm_4_452,-7.162103934325601
460,0.000727433275737932,NFG-2,Algorithm_4_452,-7.225988280323625
480,0.0007277999284795167,NFG-2,Algorithm_4_452,-7.2254843710556385
500,0.0006761172816703298,NFG-2,Algorithm_4_452,-7.299144003374421
520,0.0006440897779681765,NFG-2,Algorithm_4_452,-7.34767243479326
540,0.0006033289296360211,NFG-2,Algorithm_4_452,-7.413048021344971
560,0.0004377116924930424,NFG-2,Algorithm_4_452,-7.73395010063772
580,0.0003941946665884377,NFG-2,Algorithm_4_452,-7.838665693046877
600,0.0006478058722335367,NFG-2,Algorithm_4_452,-7.341919486381535
620,0.0007430658014598024,NFG-2,Algorithm_4_452,-7.204725955310815
640,0.0004838938054129438,NFG-2,Algorithm_4_452,-7.63364508562544
660,0.00042245082948774715,NFG-2,Algorithm_4_452,-7.769437497850371
680,0.0006121491916258326,NFG-2,Algorithm_4_452,-7.39853452799438
700,0.0004600065469245185,NFG-2,Algorithm_4_452,-7.684269836137808
720,0.00037847858841255633,NFG-2,Algorithm_4_452,-7.879351056270624
740,0.0006033599835609804,NFG-2,Algorithm_4_452,-7.412996551700017
760,0.00025834874753621895,NFG-2,Algorithm_4_452,-8.261200151176956
780,0.0005314178031668448,NFG-2,Algorithm_4_452,-7.539962022815778
800,0.00028278716505397705,NFG-2,Algorithm_4_452,-8.17081601021233
820,0.0005431694415108657,NFG-2,Algorithm_4_452,-7.518089239725535
840,0.0002245727770155137,NFG-2,Algorithm_4_452,-8.401310729526454
860,0.00046491905534432054,NFG-2,Algorithm_4_452,-7.67364724205799
880,0.00024623563740142074,NFG-2,Algorithm_4_452,-8.309221604886478
900,0.0004381972367259457,NFG-2,Algorithm_4_452,-7.7328414367882266
920,0.0004404158332547148,NFG-2,Algorithm_4_452,-7.7277912017758235
940,0.0002643061854997186,NFG-2,Algorithm_4_452,-8.2384023332994
960,0.000456699565267199,NFG-2,Algorithm_4_452,-7.691484789673929
980,0.0003885393702738882,NFG-2,Algorithm_4_452,-7.853116054104713
1000,0.00025173219608295994,NFG-2,Algorithm_4_452,-8.287144749490217
