step,exp,game_name,algorithm_name,log_exp
0,500.0,NFG-4,AutoCFR4,6.214608098422191
1,500.0,NFG-4,AutoCFR4,6.214608098422191
2,188.88888888888886,NFG-4,AutoCFR4,5.241158952708088
3,109.49039121609854,NFG-4,AutoCFR4,4.695836793955017
4,74.57950108493594,NFG-4,AutoCFR4,4.3118656850653325
5,54.85349457825117,NFG-4,AutoCFR4,4.004665896236889
6,42.355102401571685,NFG-4,AutoCFR4,3.7460888955779517
7,33.33600692258722,NFG-4,AutoCFR4,3.5066381017811343
8,26.407569263375876,NFG-4,AutoCFR4,3.2736506835793304
9,21.84619796976085,NFG-4,AutoCFR4,3.084026900440204
10,18.390545111463155,NFG-4,AutoCFR4,2.911836679909557
11,15.419665030893952,NFG-4,AutoCFR4,2.7356436448703083
12,12.57425458875855,NFG-4,AutoCFR4,2.5316514369929375
13,9.587412160953079,NFG-4,AutoCFR4,2.2604510048212174
14,7.201211800893702,NFG-4,AutoCFR4,1.9742493175398785
15,5.513427785059207,NFG-4,AutoCFR4,1.7071865322908273
16,4.292461078333304,NFG-4,AutoCFR4,1.4568602463828177
17,3.391574185349725,NFG-4,AutoCFR4,1.2212941750700375
18,2.7151383367481685,NFG-4,AutoCFR4,0.9988429048496072
19,2.1992620527659597,NFG-4,AutoCFR4,0.7881218735339288
20,1.800302950223454,NFG-4,AutoCFR4,0.5879549564200037
21,1.4878536778705893,NFG-4,AutoCFR4,0.3973345968113313
22,1.2403468278656646,NFG-4,AutoCFR4,0.21539104039988813
23,1.042235876192649,NFG-4,AutoCFR4,0.041368286420602085
24,0.8821484456094595,NFG-4,AutoCFR4,-0.1253949314574984
25,0.7516531134187403,NFG-4,AutoCFR4,-0.2854803468045323
26,0.6444213935345715,NFG-4,AutoCFR4,-0.4394024290768104
27,0.5556490587109124,NFG-4,AutoCFR4,-0.5876183733842886
28,0.4816506109397096,NFG-4,AutoCFR4,-0.7305363013484781
29,0.41957119886296823,NFG-4,AutoCFR4,-0.8685220443225424
30,0.36717937382286436,NFG-4,AutoCFR4,-1.0019047933198404
31,0.32271624652395303,NFG-4,AutoCFR4,-1.1309818355951342
32,0.28478449302986064,NFG-4,AutoCFR4,-1.2560225495578041
33,0.2522658484970748,NFG-4,AutoCFR4,-1.3772717931905327
34,0.2242591910313081,NFG-4,AutoCFR4,-1.4949527932362614
35,0.20003366113593302,NFG-4,AutoCFR4,-1.6092696209162471
36,0.17899286697695516,NFG-4,AutoCFR4,-1.7204093232261395
37,0.16064733767461803,NFG-4,AutoCFR4,-1.8285437657666284
38,0.14459316586226123,NFG-4,AutoCFR4,-1.933831232737712
39,0.13049533219077603,NFG-4,AutoCFR4,-2.0364178215121598
40,0.11807459860921199,NFG-4,AutoCFR4,-2.1364386626619107
41,0.1070971415956592,NFG-4,AutoCFR4,-2.2340189910007555
42,0.0973663034193919,NFG-4,AutoCFR4,-2.3292750889784175
43,0.08871599133863128,NFG-4,AutoCFR4,-2.4223151202494675
44,0.08100536690631088,NFG-4,AutoCFR4,-2.513239868402066
45,0.07411455119591892,NFG-4,AutoCFR4,-2.602143393544074
46,0.06794113452770034,NFG-4,AutoCFR4,-2.689113617423857
47,0.06239732667563658,NFG-4,AutoCFR4,-2.7742328462610817
48,0.057407619586228975,NFG-4,AutoCFR4,-2.857578239061822
49,0.05290686221064789,NFG-4,AutoCFR4,-2.9392222281027243
50,0.04883866826907024,NFG-4,AutoCFR4,-3.0192328973294447
51,0.045154094183658344,NFG-4,AutoCFR4,-3.0976743236365265
52,0.04181053719179317,NFG-4,AutoCFR4,-3.174606885291679
53,0.03877081363737034,NFG-4,AutoCFR4,-3.250087541257699
54,0.03600238529173794,NFG-4,AutoCFR4,-3.3241700846171667
55,0.03347670775212919,NFG-4,AutoCFR4,-3.3969053729592087
56,0.03116867988615013,NFG-4,AutoCFR4,-3.468341538164246
57,0.029056177206598477,NFG-4,AutoCFR4,-3.5385241777864747
58,0.02711965519796422,NFG-4,AutoCFR4,-3.6074965299301374
59,0.02534181113503564,NFG-4,AutoCFR4,-3.6752996332795638
60,0.02370729496402646,NFG-4,AutoCFR4,-3.741972473813802
61,0.022202461464701173,NFG-4,AutoCFR4,-3.807552119461939
62,0.020815157246204308,NFG-4,AutoCFR4,-3.8720738438979967
63,0.01953453722029508,NFG-4,AutoCFR4,-3.9355712405281658
64,0.018350906089324326,NFG-4,AutoCFR4,-3.9980763275358058
65,0.017255581116103258,NFG-4,AutoCFR4,-4.059619644870998
66,0.01624077304865068,NFG-4,AutoCFR4,-4.120230343863622
67,0.01529948256921898,NFG-4,AutoCFR4,-4.179936270160918
68,0.014425410051103427,NFG-4,AutoCFR4,-4.238764040572349
69,0.013612876750187297,NFG-4,AutoCFR4,-4.296739114324617
70,0.012856755843756673,NFG-4,AutoCFR4,-4.3538858592013785
71,0.012152411966440013,NFG-4,AutoCFR4,-4.4102276131408455
72,0.011495648099582922,NFG-4,AutoCFR4,-4.465786741357392
73,0.010882658829132197,NFG-4,AutoCFR4,-4.52058468973211
74,0.010309989137795128,NFG-4,AutoCFR4,-4.574642034513947
75,0.009774498012347976,NFG-4,AutoCFR4,-4.627978528664882
76,0.00927332624706878,NFG-4,AutoCFR4,-4.680613145310298
77,0.008803867916412855,NFG-4,AutoCFR4,-4.732564118109603
78,0.008363745053145522,NFG-4,AutoCFR4,-4.783848979331117
79,0.007950785141076722,NFG-4,AutoCFR4,-4.834484595308468
80,0.00756300107690322,NFG-4,AutoCFR4,-4.884487199717244
81,0.007198573303469402,NFG-4,AutoCFR4,-4.9338724248908035
82,0.006855833857400739,NFG-4,AutoCFR4,-4.982655331148207
83,0.0065332521056689075,NFG-4,AutoCFR4,-5.030850434296843
84,0.006229421973046101,NFG-4,AutoCFR4,-5.078471731699722
85,0.005943050492476232,NFG-4,AutoCFR4,-5.125532726507804
86,0.005672947523862604,NFG-4,AutoCFR4,-5.172046450836914
87,0.005418016514283863,NFG-4,AutoCFR4,-5.218025487283299
88,0.005177246180551265,NFG-4,AutoCFR4,-5.263481989449823
89,0.0049497030150860155,NFG-4,AutoCFR4,-5.3084277011537475
90,0.00473452452388301,NFG-4,AutoCFR4,-5.352873974728808
91,0.004530913119538127,NFG-4,AutoCFR4,-5.396831788158058
92,0.004338130598171119,NFG-4,AutoCFR4,-5.440311761412565
93,0.004155493139705868,NFG-4,AutoCFR4,-5.483324171867546
94,0.003982366777279367,NFG-4,AutoCFR4,-5.525878968772404
95,0.0038181632860982972,NFG-4,AutoCFR4,-5.567985787149841
96,0.0036623364498495903,NFG-4,AutoCFR4,-5.6096539609672
97,0.0035143786674325384,NFG-4,AutoCFR4,-5.650892535366501
98,0.00337381786368951,NFG-4,AutoCFR4,-5.691710278624435
99,0.0032402146762251505,NFG-4,AutoCFR4,-5.732115693278687
100,0.0031131598904039492,NFG-4,AutoCFR4,-5.772117026681698
101,0.002992272097571913,NFG-4,AutoCFR4,-5.81172228130301
102,0.002877195557402956,NFG-4,AutoCFR4,-5.850939224041862
103,0.002767598241405267,NFG-4,AutoCFR4,-5.889775395762111
104,0.0026631700446841933,NFG-4,AutoCFR4,-5.928238119632369
105,0.002563621146634887,NFG-4,AutoCFR4,-5.966334509563852
106,0.0024686805084002117,NFG-4,AutoCFR4,-6.004071478207135
107,0.0023780944952704886,NFG-4,AutoCFR4,-6.04145574421521
108,0.0022916256103258092,NFG-4,AutoCFR4,-6.078493839752288
109,0.0022090513321586513,NFG-4,AutoCFR4,-6.1151921170782275
110,0.0021301630450238918,NFG-4,AutoCFR4,-6.151556755230799
111,0.002054765054595009,NFG-4,AutoCFR4,-6.187593766234188
112,0.001982673681311553,NFG-4,AutoCFR4,-6.223309001073617
113,0.0019137164249514171,NFG-4,AutoCFR4,-6.258708155260497
114,0.0018477311933224883,NFG-4,AutoCFR4,-6.293796774501535
115,0.001784565590639886,NFG-4,AutoCFR4,-6.328580259957287
116,0.0017240762609276317,NFG-4,AutoCFR4,-6.363063872842153
117,0.001666128279680379,NFG-4,AutoCFR4,-6.397252739594056
118,0.001610594592250436,NFG-4,AutoCFR4,-6.431151856207848
119,0.001557355493275736,NFG-4,AutoCFR4,-6.464766092810487
120,0.0015062981449318613,NFG-4,AutoCFR4,-6.498100197795889
121,0.0014573161305406757,NFG-4,AutoCFR4,-6.531158801700679
122,0.001410309040068114,NFG-4,AutoCFR4,-6.563946421254635
123,0.0013651820858626706,NFG-4,AutoCFR4,-6.596467463005312
124,0.0013218457457355726,NFG-4,AutoCFR4,-6.628726226860142
125,0.0012802154312225866,NFG-4,AutoCFR4,-6.660726909569771
126,0.0012402111794926896,NFG-4,AutoCFR4,-6.6924736078231275
127,0.0012017573660045855,NFG-4,AutoCFR4,-6.72397032181054
128,0.0011647824383089755,NFG-4,AutoCFR4,-6.755220957636735
