step,exp,algorithm_name,game_name,log_exp
0,4.157665252685547,DCFR,bigleduc,1.4249536793853412
20,0.19181349873542786,DCFR,bigleduc,-1.651231739783921
40,0.03293232899159193,DCFR,bigleduc,-3.413300459568166
60,0.011748312506824732,DCFR,bigleduc,-4.444045665146246
80,0.006183319259434938,DCFR,bigleduc,-5.085900054701559
100,0.004904577042907476,DCFR,bigleduc,-5.31758641946722
120,0.003766265930607915,DCFR,bigleduc,-5.581671237695874
140,0.0027076948899775743,DCFR,bigleduc,-5.911657600155178
160,0.0020400999346747994,DCFR,bigleduc,-6.194756484740179
180,0.0016764706233516335,DCFR,bigleduc,-6.39106451481716
200,0.0013926508254371583,DCFR,bigleduc,-6.576546279326503
220,0.0011644084588624537,DCFR,bigleduc,-6.755542081551644
240,0.0010681136627681553,DCFR,bigleduc,-6.841861118294079
260,0.0009481726447120309,DCFR,bigleduc,-6.9609739576149785
280,0.0008810545259620994,DCFR,bigleduc,-7.034391042953366
300,0.0008881519315764308,DCFR,bigleduc,-7.026367735489431
320,0.0007879405457060784,DCFR,bigleduc,-7.146087920564436
340,0.0006773475906811655,DCFR,bigleduc,-7.297325988921539
360,0.000632989511359483,DCFR,bigleduc,-7.365056705689632
380,0.0006312581244856119,DCFR,bigleduc,-7.367795706985272
400,0.0005738770123571157,DCFR,bigleduc,-7.463095448788767
420,0.0005492312484420836,DCFR,bigleduc,-7.5069909875789635
440,0.0005115724634379148,DCFR,bigleduc,-7.578021314106305
460,0.0004785438359249383,DCFR,bigleduc,-7.64476274013891
480,0.0004599490202963352,DCFR,bigleduc,-7.684394900065476
500,0.0004466950485948473,DCFR,bigleduc,-7.713634414075855
520,0.0004528674762696028,DCFR,bigleduc,-7.699911022147641
540,0.00041563253034837544,DCFR,bigleduc,-7.785709028586857
560,0.0003680522204376757,DCFR,bigleduc,-7.907285726499424
580,0.0003758757666219026,DCFR,bigleduc,-7.886251877091575
600,0.0003607890976127237,DCFR,bigleduc,-7.927216987491991
620,0.0003474491531960666,DCFR,bigleduc,-7.964892225403435
640,0.00033792867907322943,DCFR,bigleduc,-7.992675693405799
660,0.00031012907857075334,DCFR,bigleduc,-8.078521964661913
680,0.0002942057326436043,DCFR,bigleduc,-8.131231264454472
700,0.00028445094358175993,DCFR,bigleduc,-8.164949749558284
720,0.00027999491430819035,DCFR,bigleduc,-8.180739118145011
740,0.0002741715870797634,DCFR,bigleduc,-8.201756417358409
760,0.00025540238129906356,DCFR,bigleduc,-8.272670290607174
780,0.0002431271132081747,DCFR,bigleduc,-8.321926151770521
800,0.00024131362442858517,DCFR,bigleduc,-8.329413124313959
820,0.00022398307919502258,DCFR,bigleduc,-8.403940048270407
840,0.00022291019558906555,DCFR,bigleduc,-8.408741577976684
860,0.0002130419888999313,DCFR,bigleduc,-8.454021280697015
880,0.00020175048848614097,DCFR,bigleduc,-8.508478829572335
