step,exp,game_name,algorithm_name,log_exp
0,0.6666666666666666,goofspiel_3,AutoCFR4,-0.40546510810816444
1,0.6666666666666666,goofspiel_3,AutoCFR4,-0.40546510810816444
2,0.205761316872428,goofspiel_3,AutoCFR4,-1.5810384379124023
3,0.0545267489711934,goofspiel_3,AutoCFR4,-2.9090638909083175
4,0.019866666666666664,goofspiel_3,AutoCFR4,-3.9187119935789427
5,0.008862551440329217,goofspiel_3,AutoCFR4,-4.725920582872277
6,0.0045282915383336505,goofspiel_3,AutoCFR4,-5.397410554479531
7,0.0025488511731223103,goofspiel_3,AutoCFR4,-5.972112541670775
8,0.0015424160443021895,goofspiel_3,AutoCFR4,-6.4744052319952194
9,0.0009873291673017327,goofspiel_3,AutoCFR4,-6.920507071291868
10,0.0006610113152562439,goofspiel_3,AutoCFR4,-7.321739599868419
11,0.00045906655389917766,goofspiel_3,AutoCFR4,-7.686315360813171
12,0.00032869507658361146,goofspiel_3,AutoCFR4,-8.020380055855894
13,0.00024149728159038498,goofspiel_3,AutoCFR4,-8.328652341289514
14,0.00018139492632527945,goofspiel_3,AutoCFR4,-8.614833990215299
15,0.00013888245884773664,goofspiel_3,AutoCFR4,-8.88188260237215
16,0.0001081275904163823,goofspiel_3,AutoCFR4,-9.132198635391049
17,8.543479182579353e-05,goofspiel_3,AutoCFR4,-9.367757141705463
18,6.839555425341948e-05,goofspiel_3,AutoCFR4,-9.590202731743156
19,5.5400638935142206e-05,goofspiel_3,AutoCFR4,-9.80091943115223
20,4.535078833750684e-05,goofspiel_3,AutoCFR4,-10.001082998147231
21,3.74800886970264e-05,goofspiel_3,AutoCFR4,-10.191700734080673
22,3.124528065734416e-05,goofspiel_3,AutoCFR4,-10.373642212151362
23,2.6254758672998952e-05,goofspiel_3,AutoCFR4,-10.547663302575467
24,2.2222057613168724e-05,goofspiel_3,AutoCFR4,-10.7144251761873
25,1.8934791732315632e-05,goofspiel_3,AutoCFR4,-10.874509495756529
26,1.6233546623623364e-05,goofspiel_3,AutoCFR4,-11.028430677597916
27,1.3997303185948068e-05,goofspiel_3,AutoCFR4,-11.176645876479613
28,1.2133222785993926e-05,goofspiel_3,AutoCFR4,-11.319563183075651
29,1.0569390692111052e-05,goofspiel_3,AutoCFR4,-11.457548404766273
30,9.249595715499337e-06,goofspiel_3,AutoCFR4,-11.590930713827598
31,8.129530519552798e-06,goofspiel_3,AutoCFR4,-11.72000738274443
32,7.17399570034422e-06,goofspiel_3,AutoCFR4,-11.845047778193056
33,6.354821455966995e-06,goofspiel_3,AutoCFR4,-11.966296748765997
34,5.649307912683097e-06,goofspiel_3,AutoCFR4,-12.08397751363927
35,5.039044194083048e-06,goofspiel_3,AutoCFR4,-12.198294137896841
36,4.509006740954893e-06,goofspiel_3,AutoCFR4,-12.309433663526468
37,4.046865399226026e-06,goofspiel_3,AutoCFR4,-12.417567952019247
38,3.6424454164323803e-06,goofspiel_3,AutoCFR4,-12.522855284182912
39,3.2873073774808473e-06,goofspiel_3,AutoCFR4,-12.625441754578256
