step,exp,game_name,algorithm_name,log_exp
0,0.6666666666666666,goofspiel_3,DCFRPlus,-0.40546510810816444
1,0.6666666666666666,goofspiel_3,DCFRPlus,-0.40546510810816444
2,0.1568627450980392,goofspiel_3,DCFRPlus,-1.8523840910444898
3,0.0272108843537415,goofspiel_3,DCFRPlus,-3.6041382256588457
4,0.007532956685499058,goofspiel_3,DCFRPlus,-4.888467660122048
5,0.002723867892407218,goofspiel_3,DCFRPlus,-5.905702389518784
6,0.0011721611721611724,goofspiel_3,DCFRPlus,-6.748906078373325
7,0.000570287995437696,goofspiel_3,DCFRPlus,-7.469369069580233
8,0.0003039975680194559,goofspiel_3,DCFRPlus,-8.098490856526052
9,0.00017391682427878865,goofspiel_3,DCFRPlus,-8.656933394424662
10,0.00010526454295451255,goofspiel_3,DCFRPlus,-9.15903391960733
11,6.671002818498691e-05,goofspiel_3,DCFRPlus,-9.615155268742761
12,4.3924669192335146e-05,goofspiel_3,DCFRPlus,-10.033034455112753
13,2.987158950461703e-05,goofspiel_3,DCFRPlus,-10.418602713070486
14,2.0884402223144618e-05,goofspiel_3,DCFRPlus,-10.776507982730502
15,1.495506004456608e-05,goofspiel_3,DCFRPlus,-11.110460850874302
16,1.0935774198134356e-05,goofspiel_3,DCFRPlus,-11.423471106329458
17,8.145751939452626e-06,goofspiel_3,DCFRPlus,-11.718014001024377
18,6.167913741726323e-06,goofspiel_3,DCFRPlus,-11.996149906605456
19,4.739342108225247e-06,goofspiel_3,DCFRPlus,-12.259612227623379
20,3.690040304465225e-06,goofspiel_3,DCFRPlus,-12.509873177352187
21,2.9075673438027566e-06,goofspiel_3,DCFRPlus,-12.748193790722858
22,2.316015041359686e-06,goofspiel_3,DCFRPlus,-12.975662503732435
23,1.8631810276002322e-06,goofspiel_3,DCFRPlus,-13.193225301124436
24,1.512556106378071e-06,goofspiel_3,DCFRPlus,-13.401709552603425
25,1.2382108781468936e-06,goofspiel_3,DCFRPlus,-13.601843060447688
26,1.0214683275230937e-06,goofspiel_3,DCFRPlus,-13.794269429020533
27,8.486995694759258e-07,goofspiel_3,DCFRPlus,-13.979560577245651
28,7.098394573845219e-07,goofspiel_3,DCFRPlus,-14.158227008839036
29,5.973716989333255e-07,goofspiel_3,DCFRPlus,-14.330726306017196
30,5.05625174875207e-07,goofspiel_3,DCFRPlus,-14.49747020327422
