step,exp,game_name,algorithm_name,log_exp
0,0.6666666666666666,goofspiel_3,LinearCFR,-0.40546510810816444
1,0.6666666666666666,goofspiel_3,LinearCFR,-0.40546510810816444
2,0.3055555555555555,goofspiel_3,LinearCFR,-1.1856236656577397
3,0.15277777777777776,goofspiel_3,LinearCFR,-1.8787708462176849
4,0.09166666666666667,goofspiel_3,LinearCFR,-2.3895964699836756
5,0.06111111111111111,goofspiel_3,LinearCFR,-2.79506157809184
6,0.04365079365079365,goofspiel_3,LinearCFR,-3.1315338147130527
7,0.03273809523809523,goofspiel_3,LinearCFR,-3.419215887164834
8,0.02546296296296296,goofspiel_3,LinearCFR,-3.6705303154457396
9,0.02037037037037037,goofspiel_3,LinearCFR,-3.8936738667599493
10,0.016666666666666666,goofspiel_3,LinearCFR,-4.0943445622221
11,0.013888888888888888,goofspiel_3,LinearCFR,-4.276666119016055
12,0.011752136752136752,goofspiel_3,LinearCFR,-4.443720203679222
13,0.010073260073260072,goofspiel_3,LinearCFR,-4.59787088350648
14,0.00873015873015873,goofspiel_3,LinearCFR,-4.740971727147153
15,0.007638888888888889,goofspiel_3,LinearCFR,-4.874503119771676
16,0.006740196078431372,goofspiel_3,LinearCFR,-4.999666262725682
17,0.00599128540305011,goofspiel_3,LinearCFR,-5.117449298382065
18,0.005360623781676413,goofspiel_3,LinearCFR,-5.22867493349229
19,0.004824561403508771,goofspiel_3,LinearCFR,-5.334035449150116
20,0.004365079365079365,goofspiel_3,LinearCFR,-5.434118907707099
21,0.003968253968253968,goofspiel_3,LinearCFR,-5.529429087511423
22,0.0036231884057971015,goofspiel_3,LinearCFR,-5.6204008657171505
23,0.0033212560386473426,goofspiel_3,LinearCFR,-5.70741224270678
24,0.0030555555555555553,goofspiel_3,LinearCFR,-5.790793851645831
25,0.0028205128205128203,goofspiel_3,LinearCFR,-5.870836559319367
26,0.0026115859449192783,goofspiel_3,LinearCFR,-5.9477976004554955
27,0.0024250440917107582,goofspiel_3,LinearCFR,-6.021905572609218
28,0.002257799671592775,goofspiel_3,LinearCFR,-6.093364536591362
29,0.00210727969348659,goofspiel_3,LinearCFR,-6.162357408078314
30,0.0019713261648745518,goofspiel_3,LinearCFR,-6.229048782576986
31,0.0018481182795698921,goofspiel_3,LinearCFR,-6.293587303714558
32,0.001736111111111111,goofspiel_3,LinearCFR,-6.3561076606958915
33,0.0016339869281045752,goofspiel_3,LinearCFR,-6.416732282512326
34,0.0015406162464985994,goofspiel_3,LinearCFR,-6.475572782535259
35,0.001455026455026455,goofspiel_3,LinearCFR,-6.532731196375208
36,0.0013763763763763764,goofspiel_3,LinearCFR,-6.5883010475300186
37,0.0013039355144618303,goofspiel_3,LinearCFR,-6.642368268800295
38,0.0012370670265407107,goofspiel_3,LinearCFR,-6.695012002285717
39,0.0011752136752136752,goofspiel_3,LinearCFR,-6.746305296673268
40,0.0011178861788617885,goofspiel_3,LinearCFR,-6.7963157172479285
41,0.001064653503677894,goofspiel_3,LinearCFR,-6.845105881417361
42,0.0010151347360649685,goofspiel_3,LinearCFR,-6.8927339304066155
43,0.0009689922480620155,goofspiel_3,LinearCFR,-6.939253946041508
44,0.000925925925925926,goofspiel_3,LinearCFR,-6.984716320118266
