step,exp,game_name,algorithm_name,log_exp
0,0.7083333333333333,goofspiel_4,AutoCFRS,-0.34484048629172964
1,0.7067331536170091,goofspiel_4,AutoCFRS,-0.3471021191028452
2,0.15960541512814524,goofspiel_4,AutoCFRS,-1.8350506651676732
3,0.15329327605762097,goofspiel_4,AutoCFRS,-1.8754023553995016
4,0.10306262577151178,goofspiel_4,AutoCFRS,-2.2724184583209244
5,0.19729547418403187,goofspiel_4,AutoCFRS,-1.6230528049696709
6,0.2244729796162745,goofspiel_4,AutoCFRS,-1.493999937100124
7,0.1388896812359133,goofspiel_4,AutoCFRS,-1.9740753211397066
8,0.09853363988621036,goofspiel_4,AutoCFRS,-2.317357267421936
9,0.09477083942635182,goofspiel_4,AutoCFRS,-2.3562935180278988
10,0.1558927708734839,goofspiel_4,AutoCFRS,-1.858586874272669
11,0.11332775602258016,goofspiel_4,AutoCFRS,-2.177471162816438
12,0.10256168327364187,goofspiel_4,AutoCFRS,-2.277290873369951
13,0.09354569401041117,goofspiel_4,AutoCFRS,-2.369305256071675
14,0.04777779464849516,goofspiel_4,AutoCFRS,-3.0411942945227723
15,0.043521941558924866,goofspiel_4,AutoCFRS,-3.134490064402815
16,0.08969083833814331,goofspiel_4,AutoCFRS,-2.411386651832208
17,0.08381556552641675,goofspiel_4,AutoCFRS,-2.479136542604153
18,0.04055410706776745,goofspiel_4,AutoCFRS,-3.2051182195109424
19,0.0351873736495814,goofspiel_4,AutoCFRS,-3.347067963864337
20,0.06086972375019099,goofspiel_4,AutoCFRS,-2.7990193748439047
21,0.09806434741221651,goofspiel_4,AutoCFRS,-2.322131409536025
22,0.10039396650815265,goofspiel_4,AutoCFRS,-2.2986531680705697
23,0.059397012432769784,goofspiel_4,AutoCFRS,-2.8235113496230277
24,0.019451588984671826,goofspiel_4,AutoCFRS,-3.9398265163845907
25,0.028049821706457184,goofspiel_4,AutoCFRS,-3.573773003309669
26,0.02372255121224132,goofspiel_4,AutoCFRS,-3.7413291553141246
27,0.054166335994554504,goofspiel_4,AutoCFRS,-2.9156956706150052
28,0.05317840182265699,goofspiel_4,AutoCFRS,-2.93410294584417
29,0.025944811658800627,goofspiel_4,AutoCFRS,-3.6517836254371687
30,0.012977888844367822,goofspiel_4,AutoCFRS,-4.3445082277475775
31,0.031204557695213856,goofspiel_4,AutoCFRS,-3.4671911148605377
32,0.04516245621865871,goofspiel_4,AutoCFRS,-3.0974891519268675
33,0.028866413031002416,goofspiel_4,AutoCFRS,-3.54507653857534
34,0.01853736774280192,goofspiel_4,AutoCFRS,-3.987966706119294
35,0.010236083784606359,goofspiel_4,AutoCFRS,-4.581836175430251
36,0.023699936490116237,goofspiel_4,AutoCFRS,-3.742282910586573
37,0.03695548064025155,goofspiel_4,AutoCFRS,-3.2980413167345723
38,0.014613625950764158,goofspiel_4,AutoCFRS,-4.2258009012079425
39,0.014566486705114007,goofspiel_4,AutoCFRS,-4.229031819965018
40,0.010747242220268613,goofspiel_4,AutoCFRS,-4.533106094969308
41,0.019559971508317932,goofspiel_4,AutoCFRS,-3.9342700710064893
42,0.02855647944347954,goofspiel_4,AutoCFRS,-3.555871417894705
43,0.017587197583766905,goofspiel_4,AutoCFRS,-4.0405840516423055
44,0.012227858695931425,goofspiel_4,AutoCFRS,-4.4040384307995595
45,0.009698990725771166,goofspiel_4,AutoCFRS,-4.635733447775832
46,0.01884475115519821,goofspiel_4,AutoCFRS,-3.971520857168572
47,0.019645724852066525,goofspiel_4,AutoCFRS,-3.9298955291178466
48,0.01670277249773232,goofspiel_4,AutoCFRS,-4.09218055551058
49,0.008658853786799273,goofspiel_4,AutoCFRS,-4.7491729223503105
50,0.011091901277509007,goofspiel_4,AutoCFRS,-4.501540051600975
51,0.015488903910158773,goofspiel_4,AutoCFRS,-4.167631388183013
52,0.025225323303538008,goofspiel_4,AutoCFRS,-3.679906896034192
53,0.01476421416408094,goofspiel_4,AutoCFRS,-4.2155489880891315
54,0.010347228198828872,goofspiel_4,AutoCFRS,-4.571036602013861
55,0.007432939110417577,goofspiel_4,AutoCFRS,-4.901833925063523
56,0.014741529208239405,goofspiel_4,AutoCFRS,-4.217086652131348
57,0.018392506873836714,goofspiel_4,AutoCFRS,-3.9958119324275065
58,0.014641424777246188,goofspiel_4,AutoCFRS,-4.2239004543341885
59,0.006783390330399118,goofspiel_4,AutoCFRS,-4.993278253281103
60,0.009403136768176114,goofspiel_4,AutoCFRS,-4.666711946629081
61,0.01197025347774181,goofspiel_4,AutoCFRS,-4.425330583551101
62,0.02063020495972146,goofspiel_4,AutoCFRS,-3.880999016915781
63,0.011503582849642351,goofspiel_4,AutoCFRS,-4.46509673999241
64,0.008862961064599207,goofspiel_4,AutoCFRS,-4.725874364262807
65,0.005986226199920348,goofspiel_4,AutoCFRS,-5.118294082106488
66,0.012596923841568929,goofspiel_4,AutoCFRS,-4.37430263438964
67,0.015288879263755134,goofspiel_4,AutoCFRS,-4.180629560370211
68,0.01216802510864605,goofspiel_4,AutoCFRS,-4.408943660529078
69,0.0055479758359527325,goofspiel_4,AutoCFRS,-5.19432213199096
70,0.00816220904787144,goofspiel_4,AutoCFRS,-4.80824042999235
71,0.009927605955748995,goofspiel_4,AutoCFRS,-4.612435922062009
72,0.01768454943251037,goofspiel_4,AutoCFRS,-4.035063934030623
73,0.00959764215604096,goofspiel_4,AutoCFRS,-4.646237819420848
74,0.007752546008679321,goofspiel_4,AutoCFRS,-4.859733972317913
75,0.004992829888127445,goofspiel_4,AutoCFRS,-5.299752418116675
76,0.010709861970695969,goofspiel_4,AutoCFRS,-4.5365902824957285
77,0.012778815248063055,goofspiel_4,AutoCFRS,-4.359966537924432
78,0.010395612038372316,goofspiel_4,AutoCFRS,-4.566371481255116
79,0.004679350281170136,goofspiel_4,AutoCFRS,-5.364596007499993
80,0.0072117911775160855,goofspiel_4,AutoCFRS,-4.932037928924925
81,0.008454930556385977,goofspiel_4,AutoCFRS,-4.773005509984545
82,0.007047489201353995,goofspiel_4,AutoCFRS,-4.955083867243375
83,0.004400626634332688,goofspiel_4,AutoCFRS,-5.426008331304452
84,0.009555955746630714,goofspiel_4,AutoCFRS,-4.650590680480457
85,0.004273260033220017,goofspiel_4,AutoCFRS,-5.455378269217468
86,0.0067412125929673,goofspiel_4,AutoCFRS,-4.9995154603039715
87,0.007755610817791789,goofspiel_4,AutoCFRS,-4.859338721072176
88,0.006597527728091473,goofspiel_4,AutoCFRS,-5.0210602867776695
89,0.00403806332021169,goofspiel_4,AutoCFRS,-5.5119900781318005
90,0.008839343017795185,goofspiel_4,AutoCFRS,-4.728542724348336
91,0.003929924870845261,goofspiel_4,AutoCFRS,-5.539134970116963
92,0.006328554538529767,goofspiel_4,AutoCFRS,-5.062683419845263
93,0.007175591847956663,goofspiel_4,AutoCFRS,-4.937070033218268
94,0.006201819359078422,goofspiel_4,AutoCFRS,-5.082912584965009
95,0.0037289942311632186,goofspiel_4,AutoCFRS,-5.5916167248064355
96,0.008220943719882176,goofspiel_4,AutoCFRS,-4.801070268732402
97,0.0036359697696098287,goofspiel_4,AutoCFRS,-5.616879416890184
98,0.005963404456743706,goofspiel_4,AutoCFRS,-5.122113743413089
99,0.006644598163105638,goofspiel_4,AutoCFRS,-5.013951060713814
100,0.005850493929267521,goofspiel_4,AutoCFRS,-5.14122918894916
101,0.0034619326573216286,goofspiel_4,AutoCFRS,-5.665928274375246
102,0.007684172614938225,goofspiel_4,AutoCFRS,-4.868592570124834
103,0.0033812725711074984,goofspiel_4,AutoCFRS,-5.689503140018011
104,0.0056379428877299815,goofspiel_4,AutoCFRS,-5.178236016222691
105,0.0049696695548407535,goofspiel_4,AutoCFRS,-5.304401929043629
106,0.005537152583979401,goofspiel_4,AutoCFRS,-5.196274884363801
107,0.003230098357466755,goofspiel_4,AutoCFRS,-5.735242690983104
108,0.008401751963746831,goofspiel_4,AutoCFRS,-4.779315027767248
109,0.003159840100415672,goofspiel_4,AutoCFRS,-5.757233853797878
110,0.005602717972563936,goofspiel_4,AutoCFRS,-5.184503446742776
111,0.002845901284996575,goofspiel_4,AutoCFRS,-5.861875465440779
112,0.004079477880067624,goofspiel_4,AutoCFRS,-5.50178626932666
113,0.004342580125895661,goofspiel_4,AutoCFRS,-5.43928660846008
114,0.002688684721632622,goofspiel_4,AutoCFRS,-5.918703156009881
115,0.006907399310054549,goofspiel_4,AutoCFRS,-4.975162078174206
116,0.009291003009846801,goofspiel_4,AutoCFRS,-4.67870876537007
117,0.005033512932345558,goofspiel_4,AutoCFRS,-5.291637142542994
118,0.007908379599149171,goofspiel_4,AutoCFRS,-4.839832372910145
119,0.010886586451882707,goofspiel_4,AutoCFRS,-4.520223848302614
120,0.007398923061022118,goofspiel_4,AutoCFRS,-4.906420821657173
121,0.0033436640980029912,goofspiel_4,AutoCFRS,-5.700688037966822
122,0.005315103044757655,goofspiel_4,AutoCFRS,-5.237202879839444
123,0.00817964414329945,goofspiel_4,AutoCFRS,-4.806106632577902
124,0.009950649794722887,goofspiel_4,AutoCFRS,-4.61011742394168
125,0.005985700469071459,goofspiel_4,AutoCFRS,-5.118381909381707
126,0.0042653609539333665,goofspiel_4,AutoCFRS,-5.457228469982184
127,0.00706726426536083,goofspiel_4,AutoCFRS,-4.952281823694823
128,0.004272131089890281,goofspiel_4,AutoCFRS,-5.455642491959304
129,0.002911554026618187,goofspiel_4,AutoCFRS,-5.839068310576185
130,0.005100904814079512,goofspiel_4,AutoCFRS,-5.278337340462558
131,0.0019666995187048266,goofspiel_4,AutoCFRS,-6.231398512451907
132,0.0038234589889656,goofspiel_4,AutoCFRS,-5.56659977158287
133,0.0031259684455791927,goofspiel_4,AutoCFRS,-5.768011141218318
134,0.0028441872972895764,goofspiel_4,AutoCFRS,-5.8624779122160975
135,0.0039927636429087105,goofspiel_4,AutoCFRS,-5.523271645513347
136,0.002134038413626826,goofspiel_4,AutoCFRS,-6.149739125502251
137,0.004595675594383821,goofspiel_4,AutoCFRS,-5.382639505824543
138,0.001704392695248631,goofspiel_4,AutoCFRS,-6.374546422167561
139,0.004965327879948547,goofspiel_4,AutoCFRS,-5.305275945407919
140,0.0017019227611778358,goofspiel_4,AutoCFRS,-6.375996631072326
141,0.004852618100357627,goofspiel_4,AutoCFRS,-5.328236905173456
142,0.007493286163823381,goofspiel_4,AutoCFRS,-4.893747837507997
143,0.004044189613615672,goofspiel_4,AutoCFRS,-5.510474091283224
144,0.004909982300701938,goofspiel_4,AutoCFRS,-5.316484941927228
145,0.007341176192986366,goofspiel_4,AutoCFRS,-4.9142562049173835
146,0.003978485444996293,goofspiel_4,AutoCFRS,-5.526854073568283
147,0.0023105017623053967,goofspiel_4,AutoCFRS,-6.0702905649165695
148,0.005014385198122732,goofspiel_4,AutoCFRS,-5.295444457680985
149,0.0017277464543513825,goofspiel_4,AutoCFRS,-6.360937347171764
150,0.0068435443788874145,goofspiel_4,AutoCFRS,-4.984449497510802
151,0.009153398187162336,goofspiel_4,AutoCFRS,-4.693630082066512
152,0.00591833578978241,goofspiel_4,AutoCFRS,-5.129699986197707
153,0.002760200221024625,goofspiel_4,AutoCFRS,-5.892452058034754
154,0.0041250384431452914,goofspiel_4,AutoCFRS,-5.490679939688546
155,0.006357597354939812,goofspiel_4,AutoCFRS,-5.058104747385356
156,0.00876717943593431,goofspiel_4,AutoCFRS,-4.736740139386062
157,0.005769270135751657,goofspiel_4,AutoCFRS,-5.1552096994003564
158,0.002541923588982408,goofspiel_4,AutoCFRS,-5.974834166075634
159,0.004889023001509845,goofspiel_4,AutoCFRS,-5.3207627906493355
160,0.0018458275350250472,goofspiel_4,AutoCFRS,-6.294827573579612
161,0.004098896842137659,goofspiel_4,AutoCFRS,-5.497037404369043
162,0.006779864832995744,goofspiel_4,AutoCFRS,-4.993798113364881
163,0.003919353557870101,goofspiel_4,AutoCFRS,-5.541828547485308
164,0.0042133554070628645,goofspiel_4,AutoCFRS,-5.469495939927174
165,0.006598138557513834,goofspiel_4,AutoCFRS,-5.020967706469927
166,0.0036600403769119494,goofspiel_4,AutoCFRS,-5.610281099686558
167,0.002353028126173467,goofspiel_4,AutoCFRS,-6.052052215983462
168,0.005205181848938836,goofspiel_4,AutoCFRS,-5.258100640169336
169,0.002504538374244691,goofspiel_4,AutoCFRS,-5.989650843165921
170,0.005510976053203588,goofspiel_4,AutoCFRS,-5.2010135293629185
171,0.007977712779032467,goofspiel_4,AutoCFRS,-4.831103527772408
172,0.0051389384189380865,goofspiel_4,AutoCFRS,-5.270908754126526
173,0.002331960593486112,goofspiel_4,AutoCFRS,-6.061045908798711
174,0.004166692650950717,goofspiel_4,AutoCFRS,-5.480632687133264
175,0.006766587753503021,goofspiel_4,AutoCFRS,-4.995758343714396
176,0.009803817247765297,goofspiel_4,AutoCFRS,-4.624983454068824
177,0.00822995852810785,goofspiel_4,AutoCFRS,-4.799974303417902
178,0.006615448672626768,goofspiel_4,AutoCFRS,-5.018347657165559
179,0.0047708390568894105,goofspiel_4,AutoCFRS,-5.345233086639165
180,0.00525611819624001,goofspiel_4,AutoCFRS,-5.248362510183572
181,0.006793838677278659,goofspiel_4,AutoCFRS,-4.991739154406633
182,0.008483900212875217,goofspiel_4,AutoCFRS,-4.769585004150473
183,0.009685776980872,goofspiel_4,AutoCFRS,-4.637096760160664
184,0.009572424648638427,goofspiel_4,AutoCFRS,-4.6488687462929645
185,0.008293106322377048,goofspiel_4,AutoCFRS,-4.79233067285764
186,0.006593341167256952,goofspiel_4,AutoCFRS,-5.021695053298102
187,0.004691459308506379,goofspiel_4,AutoCFRS,-5.362011591722412
188,0.00392093672029189,goofspiel_4,AutoCFRS,-5.541424694467847
189,0.0053068832803843625,goofspiel_4,AutoCFRS,-5.238750568899182
190,0.006935397136617627,goofspiel_4,AutoCFRS,-4.97111696130086
191,0.008121231276265729,goofspiel_4,AutoCFRS,-4.813273501295882
192,0.008200259038799073,goofspiel_4,AutoCFRS,-4.803589535113439
193,0.006992543948093423,goofspiel_4,AutoCFRS,-4.962910847874886
194,0.005345062235129811,goofspiel_4,AutoCFRS,-5.231582090956486
195,0.003486613859099856,goofspiel_4,AutoCFRS,-5.658824254701821
196,0.006149649531436939,goofspiel_4,AutoCFRS,-5.091360185545739
197,0.007571858107063069,goofspiel_4,AutoCFRS,-4.883316784972941
198,0.009135224887427122,goofspiel_4,AutoCFRS,-4.6956174712365675
199,0.010238398245468645,goofspiel_4,AutoCFRS,-4.581610092946822
200,0.010131235375560415,goofspiel_4,AutoCFRS,-4.592132015979376
201,0.00895111250023195,goofspiel_4,AutoCFRS,-4.715977452718295
202,0.007373896103588452,goofspiel_4,AutoCFRS,-4.909809068828915
203,0.005608425352866589,goofspiel_4,AutoCFRS,-5.183485284610685
204,0.004175631613691774,goofspiel_4,AutoCFRS,-5.478489647405104
205,0.005330633807305201,goofspiel_4,AutoCFRS,-5.234285134683527
206,0.006478863066305834,goofspiel_4,AutoCFRS,-5.039210236742166
207,0.007738187619603448,goofspiel_4,AutoCFRS,-4.861587776473663
208,0.009220729288573443,goofspiel_4,AutoCFRS,-4.686301145998002
209,0.010285176423701217,goofspiel_4,AutoCFRS,-4.577051602528837
210,0.010339378716486694,goofspiel_4,AutoCFRS,-4.571795497153218
211,0.009215157568936296,goofspiel_4,AutoCFRS,-4.686905588827344
212,0.007683742350761331,goofspiel_4,AutoCFRS,-4.868648565252081
213,0.005961079880275308,goofspiel_4,AutoCFRS,-5.12250362635178
214,0.003400218882392534,goofspiel_4,AutoCFRS,-5.683915472257868
215,0.006211569899994154,goofspiel_4,AutoCFRS,-5.081341613054348
216,0.007412124438014067,goofspiel_4,AutoCFRS,-4.904638181977062
217,0.008899015968407187,goofspiel_4,AutoCFRS,-4.721814573704348
218,0.01002682524365459,goofspiel_4,AutoCFRS,-4.60249125316961
219,0.010186189150774114,goofspiel_4,AutoCFRS,-4.5867224810108
220,0.009259488582876691,goofspiel_4,AutoCFRS,-4.682106460480233
221,0.007873314443203135,goofspiel_4,AutoCFRS,-4.844276156138379
222,0.006286061431542285,goofspiel_4,AutoCFRS,-5.069420567898821
