step,exp,game_name,algorithm_name,log_exp
0,0.45833333333333326,kuhn_poker,AutoCFRS,-0.7801585575495752
1,0.24999999999999997,kuhn_poker,AutoCFRS,-1.3862943611198908
2,0.16666666666666666,kuhn_poker,AutoCFRS,-1.791759469228055
3,0.10666666666666658,kuhn_poker,AutoCFRS,-2.2380465718564753
4,0.09722222222222224,kuhn_poker,AutoCFRS,-2.330755969960742
5,0.0782312925170068,kuhn_poker,AutoCFRS,-2.5480855514095317
6,0.07291666666666666,kuhn_poker,AutoCFRS,-2.618438042412523
7,0.05864197530864196,kuhn_poker,AutoCFRS,-2.836304536625889
8,0.051666666666666694,kuhn_poker,AutoCFRS,-2.9629424507309996
9,0.046143250688705256,kuhn_poker,AutoCFRS,-3.076004575993775
10,0.041666666666666685,kuhn_poker,AutoCFRS,-3.1780538303479453
11,0.03796844181459563,kuhn_poker,AutoCFRS,-3.2709999428573906
12,0.034863945578231276,kuhn_poker,AutoCFRS,-3.3563020617542647
13,0.026666666666666644,kuhn_poker,AutoCFRS,-3.624340932976366
14,0.029947916666666657,kuhn_poker,AutoCFRS,-3.5082955172185226
15,0.02912341407151095,kuhn_poker,AutoCFRS,-3.5362128210591735
16,0.01903292181069957,kuhn_poker,AutoCFRS,-3.961585072376161
17,0.02746999076638959,kuhn_poker,AutoCFRS,-3.5946611150093544
18,0.02166666666666664,kuhn_poker,AutoCFRS,-3.831980297754611
19,0.019652305366591044,kuhn_poker,AutoCFRS,-3.9295606260934757
20,0.01928374655647383,kuhn_poker,AutoCFRS,-3.9484926852095374
21,0.018903591682419646,kuhn_poker,AutoCFRS,-3.9684033388642543
22,0.01504629629629628,kuhn_poker,AutoCFRS,-4.19662341134252
23,0.01426666666666665,kuhn_poker,AutoCFRS,-4.249829465062497
24,0.013560157790927008,kuhn_poker,AutoCFRS,-4.300619360038549
25,0.012917238225880173,kuhn_poker,AutoCFRS,-4.34919256308432
26,0.02125850340136054,kuhn_poker,AutoCFRS,-3.8509983035903717
27,0.020808561236623113,kuhn_poker,AutoCFRS,-3.8723907790434775
28,0.020370370370370317,kuhn_poker,AutoCFRS,-3.893673866759952
29,0.019944502254595903,kuhn_poker,AutoCFRS,-3.9148017498350978
30,0.019531249999999972,kuhn_poker,AutoCFRS,-3.9357395320454636
31,0.01913070094888278,kuhn_poker,AutoCFRS,-3.956460854858714
32,0.016435986159169524,kuhn_poker,AutoCFRS,-4.108282070065884
33,0.015646258503401317,kuhn_poker,AutoCFRS,-4.157523463843635
34,0.014917695473250975,kuhn_poker,AutoCFRS,-4.205207155033914
35,0.014730947163379582,kuhn_poker,AutoCFRS,-4.217804748919764
36,0.010156971375807927,kuhn_poker,AutoCFRS,-4.589594974202622
37,0.007779969318430835,kuhn_poker,AutoCFRS,-4.856202884446035
38,0.009583333333333333,kuhn_poker,AutoCFRS,-4.647729800406887
39,0.009270275629585573,kuhn_poker,AutoCFRS,-4.680942166342028
40,0.008975812547241113,kuhn_poker,AutoCFRS,-4.7132218141942515
41,0.01063638002523884,kuhn_poker,AutoCFRS,-4.543475076149518
42,0.010502754820936627,kuhn_poker,AutoCFRS,-4.556117692331322
43,0.010370370370370363,kuhn_poker,AutoCFRS,-4.568802541817218
44,0.006695022054190342,kuhn_poker,AutoCFRS,-5.006391005715922
45,0.004602384185906111,kuhn_poker,AutoCFRS,-5.381180808474867
46,0.004629629629629678,kuhn_poker,AutoCFRS,-5.375278407684155
47,0.006177981396640275,kuhn_poker,AutoCFRS,-5.0867636957171705
48,0.006133333333333324,kuhn_poker,AutoCFRS,-5.094016903035309
49,0.005799051646802472,kuhn_poker,AutoCFRS,-5.150060883970833
50,0.004314595660749515,kuhn_poker,AutoCFRS,-5.4457516643415484
51,0.005547644476088742,kuhn_poker,AutoCFRS,-5.194381860037661
52,0.0026291723822587654,kuhn_poker,AutoCFRS,-5.941086165867523
53,0.007079889807162482,kuhn_poker,AutoCFRS,-4.95049693535773
54,0.0070153061224489666,kuhn_poker,AutoCFRS,-4.959660928111984
55,0.006566122909613198,kuhn_poker,AutoCFRS,-5.025831740977541
56,0.006539833531510081,kuhn_poker,AutoCFRS,-5.029843567734527
57,0.005218806856267355,kuhn_poker,AutoCFRS,-5.2554864748103505
58,0.005092592592592621,kuhn_poker,AutoCFRS,-5.279968227879834
59,0.0063379019976708695,kuhn_poker,AutoCFRS,-5.061207480491387
60,0.006286853971557371,kuhn_poker,AutoCFRS,-5.069294496897669
61,0.0060468631897203085,kuhn_poker,AutoCFRS,-5.108215622435123
62,0.004801432291666685,kuhn_poker,AutoCFRS,-5.33884101148173
63,0.003274161735700193,kuhn_poker,AutoCFRS,-5.7216934012227325
64,0.003405264768901184,kuhn_poker,AutoCFRS,-5.682432583548751
65,0.004566718645578061,kuhn_poker,AutoCFRS,-5.388960352637574
66,0.004541522491349481,kuhn_poker,AutoCFRS,-5.3944929726287905
67,0.0042533081285444085,kuhn_poker,AutoCFRS,-5.460058215641974
68,0.003231292517006795,kuhn_poker,AutoCFRS,-5.734873061726234
69,0.004116246776433241,kuhn_poker,AutoCFRS,-5.492813507405925
70,0.001993312757201632,kuhn_poker,AutoCFRS,-6.2179573222150815
71,0.005363733033089374,kuhn_poker,AutoCFRS,-5.228095084918845
72,0.005326272218164119,kuhn_poker,AutoCFRS,-5.235103681712879
73,0.004977777777777775,kuhn_poker,AutoCFRS,-5.302771716897418
74,0.004963065558633434,kuhn_poker,AutoCFRS,-5.305731672987262
75,0.004019789734075435,kuhn_poker,AutoCFRS,-5.5165256826755185
76,0.0039447731755424265,kuhn_poker,AutoCFRS,-5.535363823031233
77,0.004927095016824201,kuhn_poker,AutoCFRS,-5.313005710681521
78,0.0048958333333333215,kuhn_poker,AutoCFRS,-5.319370775745871
79,0.004674084235126746,kuhn_poker,AutoCFRS,-5.36572202096395
80,0.0037675986515962323,kuhn_poker,AutoCFRS,-5.581317442910295
81,0.0025402816083611723,kuhn_poker,AutoCFRS,-5.975480334663721
82,0.002692743764172334,kuhn_poker,AutoCFRS,-5.917194618520187
83,0.003621683967704681,kuhn_poker,AutoCFRS,-5.6208161768603935
84,0.0036055525509283703,kuhn_poker,AutoCFRS,-5.62528024650126
85,0.00335799533183595,kuhn_poker,AutoCFRS,-5.696411110489771
86,0.0025826446280992066,kuhn_poker,AutoCFRS,-5.958941355402409
87,0.00327189327946803,kuhn_poker,AutoCFRS,-5.722386477073061
88,0.0016049382716049332,kuhn_poker,AutoCFRS,-6.434669983198996
89,0.004317111459968603,kuhn_poker,AutoCFRS,-5.445168743893683
90,0.004292690611216149,kuhn_poker,AutoCFRS,-5.450841560537042
91,0.004008170501406727,kuhn_poker,AutoCFRS,-5.519420375833246
92,0.003998792817262731,kuhn_poker,AutoCFRS,-5.521762759096046
93,0.0032686980609417937,kuhn_poker,AutoCFRS,-5.723363519855318
94,0.00321903935185186,kuhn_poker,AutoCFRS,-5.73867230187164
95,0.004029829595777107,kuhn_poker,AutoCFRS,-5.514031187843812
96,0.0040087463556851,kuhn_poker,AutoCFRS,-5.519276716047413
97,0.003809135122266466,kuhn_poker,AutoCFRS,-5.5703531176421865
98,0.0030999999999999917,kuhn_poker,AutoCFRS,-5.776353167491039
99,0.002074959971244683,kuhn_poker,AutoCFRS,-6.177813416451967
100,0.002226707676534656,kuhn_poker,AutoCFRS,-6.10723116266591
101,0.00300059697740912,kuhn_poker,AutoCFRS,-5.808944017640696
102,0.0029893984220907555,kuhn_poker,AutoCFRS,-5.812683108447463
103,0.0027739984882841906,kuhn_poker,AutoCFRS,-5.887465502048481
104,0.0021508247300343897,kuhn_poker,AutoCFRS,-6.141903915031626
105,0.0027149387137158643,kuhn_poker,AutoCFRS,-5.90898589906801
106,0.0013431641518060755,kuhn_poker,AutoCFRS,-6.612727141206529
107,0.003612209971102287,kuhn_poker,AutoCFRS,-5.623435513582561
108,0.00359504132231403,kuhn_poker,AutoCFRS,-5.628199793490199
109,0.0033547060574087295,kuhn_poker,AutoCFRS,-5.6973911256877505
110,0.003348214285714274,kuhn_poker,AutoCFRS,-5.699328124306824
111,0.00275406583653115,kuhn_poker,AutoCFRS,-5.894676973176681
