step,exp,game_name,algorithm_name,log_exp
0,0.45833333333333326,kuhn_poker,LinearCFR,-0.7801585575495752
1,0.45833333333333326,kuhn_poker,LinearCFR,-0.7801585575495752
2,0.26388888888888884,kuhn_poker,LinearCFR,-1.332227139849615
3,0.14062499999999994,kuhn_poker,LinearCFR,-1.9616585060234528
4,0.06961805555555556,kuhn_poker,LinearCFR,-2.6647313263833676
5,0.09614590522066152,kuhn_poker,LinearCFR,-2.3418883952628344
6,0.058352936555794654,kuhn_poker,LinearCFR,-2.8412455949384543
7,0.051421965678697584,kuhn_poker,LinearCFR,-2.9676898499735134
8,0.04650837046686426,kuhn_poker,LinearCFR,-3.068122972548598
9,0.03050779493872377,kuhn_poker,LinearCFR,-3.489773056260235
10,0.021250730612165564,kuhn_poker,LinearCFR,-3.8513640024537823
11,0.029588088653514644,kuhn_poker,LinearCFR,-3.520383408995132
12,0.021608650898847143,kuhn_poker,LinearCFR,-3.8346615398963113
13,0.019377980012246665,kuhn_poker,LinearCFR,-3.9436179084861243
14,0.017409626345977952,kuhn_poker,LinearCFR,-4.050731987466933
15,0.015707681568727982,kuhn_poker,LinearCFR,-4.153605414388838
16,0.008412456681286123,kuhn_poker,LinearCFR,-4.778041733351607
17,0.014547655413034044,kuhn_poker,LinearCFR,-4.23032543834674
18,0.01132531816300214,kuhn_poker,LinearCFR,-4.480714514144341
19,0.011699721113500927,kuhn_poker,LinearCFR,-4.448190273915432
20,0.010854999873786741,kuhn_poker,LinearCFR,-4.523129487279082
21,0.009582951037687748,kuhn_poker,LinearCFR,-4.647769692922123
22,0.00595540263142974,kuhn_poker,LinearCFR,-5.1234564661297135
23,0.0048762723234318794,kuhn_poker,LinearCFR,-5.3233742191622175
24,0.008705909173120752,kuhn_poker,LinearCFR,-4.74375326858268
25,0.007079132586956166,kuhn_poker,LinearCFR,-4.950603894748846
26,0.00795139496646921,kuhn_poker,LinearCFR,-4.83440789822811
27,0.006864108374792677,kuhn_poker,LinearCFR,-4.981449128052722
28,0.0056237227308796045,kuhn_poker,LinearCFR,-5.180761426741812
29,0.0027375347512839376,kuhn_poker,LinearCFR,-5.900697489387148
30,0.004968722871379921,kuhn_poker,LinearCFR,-5.304592439424603
31,0.005747131734623795,kuhn_poker,LinearCFR,-5.159054377390413
32,0.0058861101896345025,kuhn_poker,LinearCFR,-5.135159908715011
33,0.006285714996099978,kuhn_poker,LinearCFR,-5.06947568110329
34,0.006155205544605302,kuhn_poker,LinearCFR,-5.090457125166464
35,0.0029282944558816637,kuhn_poker,LinearCFR,-5.833335122406091
36,0.0028196784245787254,kuhn_poker,LinearCFR,-5.871132434371798
