step,exp,game_name,algorithm_name,log_exp
0,0.5555555555555555,liars_dice_1n_3s,AutoCFR4,-0.5877866649021192
1,0.5555555555555556,liars_dice_1n_3s,AutoCFR4,-0.587786664902119
2,0.31623547661666945,liars_dice_1n_3s,AutoCFR4,-1.151268163736691
3,0.3165088184335026,liars_dice_1n_3s,AutoCFR4,-1.150404175436915
4,0.21125717485413537,liars_dice_1n_3s,AutoCFR4,-1.5546790495150529
5,0.10297380426943537,liars_dice_1n_3s,AutoCFR4,-2.2732806505804297
6,0.11367342649608295,liars_dice_1n_3s,AutoCFR4,-2.1744256214950126
7,0.07391032528288202,liars_dice_1n_3s,AutoCFR4,-2.604902741127755
8,0.055802643837011334,liars_dice_1n_3s,AutoCFR4,-2.8859340301256955
9,0.03587945835535325,liars_dice_1n_3s,AutoCFR4,-3.327590337910135
10,0.023767696425239675,liars_dice_1n_3s,AutoCFR4,-3.739427913318424
11,0.01688060999815652,liars_dice_1n_3s,AutoCFR4,-4.081589653135716
12,0.012715972559740572,liars_dice_1n_3s,AutoCFR4,-4.364896393867603
13,0.010062943247946501,liars_dice_1n_3s,AutoCFR4,-4.598895587722239
14,0.00821893000663166,liars_dice_1n_3s,AutoCFR4,-4.8013152478963645
15,0.0063921974333034925,liars_dice_1n_3s,AutoCFR4,-5.05267718343205
16,0.0048785972862639485,liars_dice_1n_3s,AutoCFR4,-5.322897541775616
17,0.0036865437663043815,liars_dice_1n_3s,AutoCFR4,-5.603065908557196
18,0.002763826208440401,liars_dice_1n_3s,AutoCFR4,-5.89113925188408
19,0.0020694419506210177,liars_dice_1n_3s,AutoCFR4,-6.180476297122498
20,0.0015303413101000196,liars_dice_1n_3s,AutoCFR4,-6.4822644899593564
21,0.0011523552346758559,liars_dice_1n_3s,AutoCFR4,-6.765947400808767
22,0.0009779593510479759,liars_dice_1n_3s,AutoCFR4,-6.930042452138864
23,0.0008354307919980347,liars_dice_1n_3s,AutoCFR4,-7.087563047593122
24,0.0007181825288937668,liars_dice_1n_3s,AutoCFR4,-7.238786802709106
25,0.0006211166869092566,liars_dice_1n_3s,AutoCFR4,-7.383991592056883
26,0.0005402645933623024,liars_dice_1n_3s,AutoCFR4,-7.523451550702765
27,0.0004725312050963895,liars_dice_1n_3s,AutoCFR4,-7.657406770679147
28,0.0004154851752152522,liars_dice_1n_3s,AutoCFR4,-7.78606362369097
29,0.0003672066106443425,liars_dice_1n_3s,AutoCFR4,-7.909585896535918
30,0.00032617270343791166,liars_dice_1n_3s,AutoCFR4,-8.028083551726613
31,0.0002911721806415496,liars_dice_1n_3s,AutoCFR4,-8.141595779716521
32,0.00026124223389829143,liars_dice_1n_3s,AutoCFR4,-8.250062481832206
33,0.00023522628888233282,liars_dice_1n_3s,AutoCFR4,-8.35496257572698
34,0.00021203186898416382,liars_dice_1n_3s,AutoCFR4,-8.458773969192993
35,0.00019138050959705,liars_dice_1n_3s,AutoCFR4,-8.561246914866938
36,0.0001730011432337225,liars_dice_1n_3s,AutoCFR4,-8.662212355200916
37,0.0001566401350865873,liars_dice_1n_3s,AutoCFR4,-8.761559516780842
38,0.00014206582180739669,liars_dice_1n_3s,AutoCFR4,-8.859220073906737
39,0.00012906985518599395,liars_dice_1n_3s,AutoCFR4,-8.955156787098176
40,0.00011746674941759405,liars_dice_1n_3s,AutoCFR4,-9.049355248107547
41,0.00010709247790063187,liars_dice_1n_3s,AutoCFR4,-9.14181781733163
42,9.780262595706496e-05,liars_dice_1n_3s,AutoCFR4,-9.232559131007227
43,8.947039703788295e-05,liars_dice_1n_3s,AutoCFR4,-9.321602746749667
