step,exp,game_name,algorithm_name,log_exp
0,0.6550595238095238,liars_dice_1n_4s,AutoCFRS,-0.4230291714307882
1,0.2699329173815852,liars_dice_1n_4s,AutoCFRS,-1.309581804995883
2,0.19775785783716748,liars_dice_1n_4s,AutoCFRS,-1.6207119369055432
3,0.1558039465653725,liars_dice_1n_4s,AutoCFRS,-1.8591568148947306
4,0.14570867247945576,liars_dice_1n_4s,AutoCFRS,-1.926146044700946
5,0.13188420202003365,liars_dice_1n_4s,AutoCFRS,-2.025830998835236
6,0.1211384198741093,liars_dice_1n_4s,AutoCFRS,-2.110821421314066
7,0.10976502909978925,liars_dice_1n_4s,AutoCFRS,-2.2094132969963765
8,0.09003940774020557,liars_dice_1n_4s,AutoCFRS,-2.4075078407061814
9,0.0815533834759696,liars_dice_1n_4s,AutoCFRS,-2.506497461186947
10,0.07655304434795718,liars_dice_1n_4s,AutoCFRS,-2.569771388264168
11,0.0702964215341417,liars_dice_1n_4s,AutoCFRS,-2.655034384247144
12,0.06268448322756548,liars_dice_1n_4s,AutoCFRS,-2.7696413384049703
13,0.05784856318968967,liars_dice_1n_4s,AutoCFRS,-2.849926662475615
14,0.0533554820176804,liars_dice_1n_4s,AutoCFRS,-2.930778550793037
15,0.04880744898704406,liars_dice_1n_4s,AutoCFRS,-3.0198723345946874
16,0.04570814953630314,liars_dice_1n_4s,AutoCFRS,-3.0854786701465513
17,0.04391806921083472,liars_dice_1n_4s,AutoCFRS,-3.125429444249139
18,0.04138909123884226,liars_dice_1n_4s,AutoCFRS,-3.184737929518531
19,0.03831903375011604,liars_dice_1n_4s,AutoCFRS,-3.2618085414866353
20,0.03631526977700947,liars_dice_1n_4s,AutoCFRS,-3.3155169711478134
21,0.035642287047759735,liars_dice_1n_4s,AutoCFRS,-3.3342225076258245
22,0.03575201969874877,liars_dice_1n_4s,AutoCFRS,-3.3311485163680112
23,0.03274112806743404,liars_dice_1n_4s,AutoCFRS,-3.4191232523048622
24,0.031021325225589168,liars_dice_1n_4s,AutoCFRS,-3.473080400496089
25,0.02993696387400307,liars_dice_1n_4s,AutoCFRS,-3.5086613121466192
26,0.030295829483148448,liars_dice_1n_4s,AutoCFRS,-3.4967452167603637
27,0.029132148640231028,liars_dice_1n_4s,AutoCFRS,-3.5359129503385436
28,0.026960270942500683,liars_dice_1n_4s,AutoCFRS,-3.61339094319251
29,0.025513533360797983,liars_dice_1n_4s,AutoCFRS,-3.6685462475685306
30,0.02545573193673978,liars_dice_1n_4s,AutoCFRS,-3.670814337897063
31,0.02434975679196793,liars_dice_1n_4s,AutoCFRS,-3.7152334175129496
32,0.022926668622053295,liars_dice_1n_4s,AutoCFRS,-3.775454477357385
33,0.02273154725397121,liars_dice_1n_4s,AutoCFRS,-3.7840015724281986
34,0.0230374239831554,liars_dice_1n_4s,AutoCFRS,-3.7706352556918934
35,0.021721643072858433,liars_dice_1n_4s,AutoCFRS,-3.829446138855903
36,0.02061950219810247,liars_dice_1n_4s,AutoCFRS,-3.88151794238685
37,0.020961150817624466,liars_dice_1n_4s,AutoCFRS,-3.8650845156155285
38,0.019658172435297376,liars_dice_1n_4s,AutoCFRS,-3.929262127114172
39,0.018560705264765276,liars_dice_1n_4s,AutoCFRS,-3.9867085531668693
40,0.019209622373183348,liars_dice_1n_4s,AutoCFRS,-3.9523439602198063
41,0.017721888958880855,liars_dice_1n_4s,AutoCFRS,-4.03295473909831
42,0.01792279563684475,liars_dice_1n_4s,AutoCFRS,-4.0216818770827505
43,0.017408180871287045,liars_dice_1n_4s,AutoCFRS,-4.050815018238096
44,0.01655678675468633,liars_dice_1n_4s,AutoCFRS,-4.1009591854053085
45,0.01659488260122659,liars_dice_1n_4s,AutoCFRS,-4.098660908181315
46,0.01664583532382373,liars_dice_1n_4s,AutoCFRS,-4.095595224544863
47,0.015417205194428397,liars_dice_1n_4s,AutoCFRS,-4.1722711727714135
48,0.01569537377195341,liars_dice_1n_4s,AutoCFRS,-4.154389274256691
49,0.015314742574951738,liars_dice_1n_4s,AutoCFRS,-4.178939347526113
50,0.0147409725795703,liars_dice_1n_4s,AutoCFRS,-4.217124412065914
51,0.015451851135962952,liars_dice_1n_4s,AutoCFRS,-4.170026468190148
52,0.014211149695627721,liars_dice_1n_4s,AutoCFRS,-4.253728432642253
53,0.013809673276289965,liars_dice_1n_4s,AutoCFRS,-4.282385970328133
54,0.014611134663103473,liars_dice_1n_4s,AutoCFRS,-4.225971392778405
55,0.013628094829374868,liars_dice_1n_4s,AutoCFRS,-4.295621820785637
56,0.013655603525112178,liars_dice_1n_4s,AutoCFRS,-4.2936053269290255
57,0.012637091433394983,liars_dice_1n_4s,AutoCFRS,-4.371119024859846
58,0.012562883461844882,liars_dice_1n_4s,AutoCFRS,-4.377008569302739
59,0.013975124311903259,liars_dice_1n_4s,AutoCFRS,-4.2704763646744
60,0.01224031028125594,liars_dice_1n_4s,AutoCFRS,-4.403020652443445
61,0.011934201478159427,liars_dice_1n_4s,AutoCFRS,-4.428346927323281
