step,exp,game_name,algorithm_name,log_exp
0,0.6550595238095238,liars_dice_1n_4s,DCFRPlus,-0.4230291714307882
1,0.6550595238095238,liars_dice_1n_4s,DCFRPlus,-0.4230291714307882
2,0.3179118993626858,liars_dice_1n_4s,DCFRPlus,-1.145980980615591
3,0.47219768034306964,liars_dice_1n_4s,DCFRPlus,-0.7503575667886406
4,0.4047415528755829,liars_dice_1n_4s,DCFRPlus,-0.9045065566222035
5,0.289134263090579,liars_dice_1n_4s,DCFRPlus,-1.2408641205846365
6,0.25559485187293796,liars_dice_1n_4s,DCFRPlus,-1.36416169802378
7,0.22127296411028327,liars_dice_1n_4s,DCFRPlus,-1.5083582078913254
8,0.18302665184482553,liars_dice_1n_4s,DCFRPlus,-1.698123498248658
9,0.1329157999181126,liars_dice_1n_4s,DCFRPlus,-2.0180394345647104
10,0.10357929839482286,liars_dice_1n_4s,DCFRPlus,-2.2674177915677136
11,0.09798832035896238,liars_dice_1n_4s,DCFRPlus,-2.322906987424655
12,0.08090117361503074,liars_dice_1n_4s,DCFRPlus,-2.5145269480386054
13,0.07414578813995343,liars_dice_1n_4s,DCFRPlus,-2.601722013900177
14,0.05793628086758283,liars_dice_1n_4s,DCFRPlus,-2.8484114780766707
15,0.05268502562715482,liars_dice_1n_4s,DCFRPlus,-2.9434240075085416
16,0.0487576174652585,liars_dice_1n_4s,DCFRPlus,-3.0208938380473205
17,0.04022884937749856,liars_dice_1n_4s,DCFRPlus,-3.213170894535635
18,0.039007390999363234,liars_dice_1n_4s,DCFRPlus,-3.244004138003588
19,0.059042268769866756,liars_dice_1n_4s,DCFRPlus,-2.829501671754349
20,0.04188349403479785,liars_dice_1n_4s,DCFRPlus,-3.1728634667846514
21,0.048795372457224546,liars_dice_1n_4s,DCFRPlus,-3.0201197973155893
22,0.0387661184031363,liars_dice_1n_4s,DCFRPlus,-3.250208650879042
23,0.03414745044181329,liars_dice_1n_4s,DCFRPlus,-3.3770673533859363
24,0.027464914679207614,liars_dice_1n_4s,DCFRPlus,-3.5948459187204103
25,0.0275245180075573,liars_dice_1n_4s,DCFRPlus,-3.592678107605468
26,0.022858076025490115,liars_dice_1n_4s,DCFRPlus,-3.778450787521794
27,0.01987516930494427,liars_dice_1n_4s,DCFRPlus,-3.9182840999902617
28,0.0200073421367008,liars_dice_1n_4s,DCFRPlus,-3.911655965960333
29,0.01637140703845813,liars_dice_1n_4s,DCFRPlus,-4.1122189390351025
30,0.014081049728876402,liars_dice_1n_4s,DCFRPlus,-4.262925376423598
31,0.011402464013267062,liars_dice_1n_4s,DCFRPlus,-4.473925805422245
32,0.00986524629223872,liars_dice_1n_4s,DCFRPlus,-4.618737173550714
33,0.008328788767853118,liars_dice_1n_4s,DCFRPlus,-4.7880372393959
34,0.007650325112320153,liars_dice_1n_4s,DCFRPlus,-4.873007133704218
35,0.006165222149184236,liars_dice_1n_4s,DCFRPlus,-5.088831109084097
36,0.0052711774507641605,liars_dice_1n_4s,DCFRPlus,-5.245501516192117
37,0.004651696061834271,liars_dice_1n_4s,DCFRPlus,-5.370523381405481
38,0.004485310765322693,liars_dice_1n_4s,DCFRPlus,-5.406947495944792
39,0.004298217472648469,liars_dice_1n_4s,DCFRPlus,-5.449554883473137
40,0.0034992076943353295,liars_dice_1n_4s,DCFRPlus,-5.655218709160064
41,0.0032217452104959035,liars_dice_1n_4s,DCFRPlus,-5.737832075412568
42,0.0030141921425560353,liars_dice_1n_4s,DCFRPlus,-5.8044234307911875
43,0.0028463238021383744,liars_dice_1n_4s,DCFRPlus,-5.8617270113174405
44,0.002598697075325146,liars_dice_1n_4s,DCFRPlus,-5.952745084434679
45,0.0021068578107188082,liars_dice_1n_4s,DCFRPlus,-6.162557630671321
46,0.002010394190193665,liars_dice_1n_4s,DCFRPlus,-6.209424461614881
47,0.0018534908658159252,liars_dice_1n_4s,DCFRPlus,-6.290684463459045
48,0.0017603306853273895,liars_dice_1n_4s,DCFRPlus,-6.342253598190515
49,0.0016799996182157995,liars_dice_1n_4s,DCFRPlus,-6.388961712819496
50,0.0012937072288460166,liars_dice_1n_4s,DCFRPlus,-6.650243361326249
51,0.0013104362554376692,liars_dice_1n_4s,DCFRPlus,-6.637395177789667
52,0.001336527980286377,liars_dice_1n_4s,DCFRPlus,-6.617680087111458
53,0.0013191458542157544,liars_dice_1n_4s,DCFRPlus,-6.630770831970149
54,0.0011330245187709809,liars_dice_1n_4s,DCFRPlus,-6.782864656595858
55,0.0010717229742544174,liars_dice_1n_4s,DCFRPlus,-6.8384876692684
56,0.0010894120683857672,liars_dice_1n_4s,DCFRPlus,-6.822117115064525
57,0.000861947120522781,liars_dice_1n_4s,DCFRPlus,-7.0563166342834505
58,0.0010494855784365098,liars_dice_1n_4s,DCFRPlus,-6.859455160163879
59,0.0008744174277823258,liars_dice_1n_4s,DCFRPlus,-7.0419526901679905
60,0.0007597937031629809,liars_dice_1n_4s,DCFRPlus,-7.182463604737877
61,0.0007690736958958361,liars_dice_1n_4s,DCFRPlus,-7.170323759635747
62,0.0008016322598041331,liars_dice_1n_4s,DCFRPlus,-7.128860584176819
63,0.0007953196939503165,liars_dice_1n_4s,DCFRPlus,-7.136766393387729
64,0.0006700916766816806,liars_dice_1n_4s,DCFRPlus,-7.308096024071572
65,0.0007217441168566874,liars_dice_1n_4s,DCFRPlus,-7.233839890674836
66,0.0005786686884291375,liars_dice_1n_4s,DCFRPlus,-7.454780457589037
67,0.0006462391164907266,liars_dice_1n_4s,DCFRPlus,-7.344340973303599
68,0.0006855937387710148,liars_dice_1n_4s,DCFRPlus,-7.285225323203423
69,0.0005552042434541771,liars_dice_1n_4s,DCFRPlus,-7.496174505691779
70,0.00047917381543365056,liars_dice_1n_4s,DCFRPlus,-7.643447154906289
71,0.0005015511654632293,liars_dice_1n_4s,DCFRPlus,-7.597804930914562
72,0.0006073111828555217,liars_dice_1n_4s,DCFRPlus,-7.4064692411754125
73,0.0005199363359184583,liars_dice_1n_4s,DCFRPlus,-7.5618041848101205
74,0.0005437930517139464,liars_dice_1n_4s,DCFRPlus,-7.516941803129722
75,0.00041572987032943015,liars_dice_1n_4s,DCFRPlus,-7.785474858791783
76,0.0004273649100096921,liars_dice_1n_4s,DCFRPlus,-7.757872319503301
77,0.000548256679542683,liars_dice_1n_4s,DCFRPlus,-7.508766987352106
78,0.00044776431543948336,liars_dice_1n_4s,DCFRPlus,-7.711243545587067
79,0.00031297441414556565,liars_dice_1n_4s,DCFRPlus,-8.06938911470922
80,0.0003212339089015276,liars_dice_1n_4s,DCFRPlus,-8.043341012031824
81,0.0004541392222072241,liars_dice_1n_4s,DCFRPlus,-7.69710675008842
82,0.00040813365611655494,liars_dice_1n_4s,DCFRPlus,-7.803915848684548
83,0.00046518999292993746,liars_dice_1n_4s,DCFRPlus,-7.673064648879732
84,0.0003491738787297777,liars_dice_1n_4s,DCFRPlus,-7.959940539976055
85,0.0003766738456336821,liars_dice_1n_4s,DCFRPlus,-7.884130875903156
86,0.0004199939886551027,liars_dice_1n_4s,DCFRPlus,-7.775270159515234
87,0.00037458619865492204,liars_dice_1n_4s,DCFRPlus,-7.889688611518955
88,0.00022456899635308128,liars_dice_1n_4s,DCFRPlus,-8.40132756457791
89,0.000315804271118901,liars_dice_1n_4s,DCFRPlus,-8.060387931475162
90,0.0003756100181645308,liars_dice_1n_4s,DCFRPlus,-7.886959138556341
91,0.0003236966226431333,liars_dice_1n_4s,DCFRPlus,-8.035703830688195
92,0.00038215825429422853,liars_dice_1n_4s,DCFRPlus,-7.8696757568901
93,0.00032170763214078857,liars_dice_1n_4s,DCFRPlus,-8.041867399596645
94,0.00033553003160760597,liars_dice_1n_4s,DCFRPlus,-7.999799092570193
95,0.0003043277119846727,liars_dice_1n_4s,DCFRPlus,-8.09740543723318
96,0.00034038606410558697,liars_dice_1n_4s,DCFRPlus,-7.985430101863431
97,0.00023629430586424166,liars_dice_1n_4s,DCFRPlus,-8.350432471123783
98,0.00033181252661153293,liars_dice_1n_4s,DCFRPlus,-8.010940427419873
99,0.00028695900566937105,liars_dice_1n_4s,DCFRPlus,-8.156171189795835
100,0.0002686250568728968,liars_dice_1n_4s,DCFRPlus,-8.222193991283067
