step,exp,game_name,algorithm_name,log_exp
0,0.6550595238095238,liars_dice_1n_4s,DCFR,-0.4230291714307882
1,0.6550595238095238,liars_dice_1n_4s,DCFR,-0.4230291714307882
2,0.3536767596772931,liars_dice_1n_4s,DCFR,-1.0393718912418877
3,0.37834386780843177,liars_dice_1n_4s,DCFR,-0.9719517936948195
4,0.3083585193738217,liars_dice_1n_4s,DCFR,-1.1764921490181772
5,0.23570973026056924,liars_dice_1n_4s,DCFR,-1.445154187496859
6,0.20003893289096855,liars_dice_1n_4s,DCFR,-1.609243266923924
7,0.18679543935190138,liars_dice_1n_4s,DCFR,-1.6777411680898184
8,0.15288509039728632,liars_dice_1n_4s,DCFR,-1.8780686829188955
9,0.11543012305015792,liars_dice_1n_4s,DCFR,-2.159089927340482
10,0.0993776429917604,liars_dice_1n_4s,DCFR,-2.3088281102178114
11,0.08453051797206501,liars_dice_1n_4s,DCFR,-2.470642650388656
12,0.07737907652979648,liars_dice_1n_4s,DCFR,-2.5590388640043424
13,0.07014330081806885,liars_dice_1n_4s,DCFR,-2.657214974954417
14,0.06400681725696888,liars_dice_1n_4s,DCFR,-2.7487656816551405
15,0.05879634437565245,liars_dice_1n_4s,DCFR,-2.8336755964923213
16,0.056738964317130845,liars_dice_1n_4s,DCFR,-2.8692941029028325
17,0.05304006915019032,liars_dice_1n_4s,DCFR,-2.93670762936876
18,0.04313492464461103,liars_dice_1n_4s,DCFR,-3.143422293421366
19,0.04301750912438317,liars_dice_1n_4s,DCFR,-3.14614805722835
20,0.0382078278358948,liars_dice_1n_4s,DCFR,-3.264714867192242
21,0.03455819171595079,liars_dice_1n_4s,DCFR,-3.3651106594490114
22,0.03288868847539092,liars_dice_1n_4s,DCFR,-3.414626495666517
23,0.02885391582548301,liars_dice_1n_4s,DCFR,-3.5455095647192403
24,0.02661969840186036,liars_dice_1n_4s,DCFR,-3.6261037958366655
25,0.02460817291969905,liars_dice_1n_4s,DCFR,-3.7046766587127276
26,0.0231713109836306,liars_dice_1n_4s,DCFR,-3.764840361058199
27,0.02099324739714295,liars_dice_1n_4s,DCFR,-3.863554445484812
28,0.018899180218776,liars_dice_1n_4s,DCFR,-3.968636732525185
29,0.017733792129118173,liars_dice_1n_4s,DCFR,-4.0322832996945674
30,0.016556245868300533,liars_dice_1n_4s,DCFR,-4.100991854499196
31,0.015074831449168574,liars_dice_1n_4s,DCFR,-4.194728717249398
32,0.013697956981643555,liars_dice_1n_4s,DCFR,-4.290508582695837
33,0.01251856879558616,liars_dice_1n_4s,DCFR,-4.380542233296049
34,0.010900673242070648,liars_dice_1n_4s,DCFR,-4.518930726326856
35,0.009604878622675096,liars_dice_1n_4s,DCFR,-4.645484119731094
36,0.008444398296341582,liars_dice_1n_4s,DCFR,-4.774251980953876
37,0.00782921365985624,liars_dice_1n_4s,DCFR,-4.849893200605368
38,0.00723957238073554,liars_dice_1n_4s,DCFR,-4.928193137763143
