step,exp,game_name,algorithm_name,log_exp
0,0.6550595238095238,liars_dice_1n_4s,LinearCFR,-0.4230291714307882
1,0.6550595238095238,liars_dice_1n_4s,LinearCFR,-0.4230291714307882
2,0.38955743335037996,liars_dice_1n_4s,LinearCFR,-0.942743970496992
3,0.3530257033567445,liars_dice_1n_4s,LinearCFR,-1.041214410657885
4,0.2865802372048327,liars_dice_1n_4s,LinearCFR,-1.2497367219850664
5,0.2198123715116827,liars_dice_1n_4s,LinearCFR,-1.5149809532840968
6,0.18784862048252396,liars_dice_1n_4s,LinearCFR,-1.6721188507073892
7,0.16091982872698385,liars_dice_1n_4s,LinearCFR,-1.8268489962375325
8,0.12814054938518607,liars_dice_1n_4s,LinearCFR,-2.0546275753980106
9,0.12028370066503755,liars_dice_1n_4s,LinearCFR,-2.1179021542496588
10,0.10461728887194155,liars_dice_1n_4s,LinearCFR,-2.257446455426856
11,0.09368823165507698,liars_dice_1n_4s,LinearCFR,-2.367782693622642
12,0.08686852068455272,liars_dice_1n_4s,LinearCFR,-2.4433595599268743
13,0.08241812244282143,liars_dice_1n_4s,LinearCFR,-2.4959499336898183
14,0.07520845449929373,liars_dice_1n_4s,LinearCFR,-2.5874916274934576
15,0.07515828218170667,liars_dice_1n_4s,LinearCFR,-2.588158960183605
16,0.07228139337021758,liars_dice_1n_4s,LinearCFR,-2.627188536047436
17,0.0658988910170906,liars_dice_1n_4s,LinearCFR,-2.719633665884004
18,0.059751117679581946,liars_dice_1n_4s,LinearCFR,-2.817567382411045
19,0.05579567182858718,liars_dice_1n_4s,LinearCFR,-2.8860589783991824
20,0.05257495525633722,liars_dice_1n_4s,LinearCFR,-2.9455154084382014
21,0.04727063369290137,liars_dice_1n_4s,LinearCFR,-3.0518660284512924
22,0.04396965438794617,liars_dice_1n_4s,LinearCFR,-3.1242555559989276
23,0.04126482625869982,liars_dice_1n_4s,LinearCFR,-3.1877448063256133
24,0.03787609590873847,liars_dice_1n_4s,LinearCFR,-3.2734350806870256
25,0.034445964351242905,liars_dice_1n_4s,LinearCFR,-3.3683634334862953
26,0.033632306829504584,liars_dice_1n_4s,LinearCFR,-3.392268161187425
27,0.031899062324578356,liars_dice_1n_4s,LinearCFR,-3.445178663837201
28,0.031220499864876308,liars_dice_1n_4s,LinearCFR,-3.46668035297638
29,0.027867148971712538,liars_dice_1n_4s,LinearCFR,-3.5803067401120257
30,0.025038122110697607,liars_dice_1n_4s,LinearCFR,-3.6873557311417176
31,0.02410923870334334,liars_dice_1n_4s,LinearCFR,-3.725160163258417
32,0.02311181606722565,liars_dice_1n_4s,LinearCFR,-3.7674112741734405
33,0.022233945907848524,liars_dice_1n_4s,LinearCFR,-3.8061350630310753
34,0.02080803685387294,liars_dice_1n_4s,LinearCFR,-3.8724159796977484
35,0.018492458138428543,liars_dice_1n_4s,LinearCFR,-3.9903922982101783
36,0.017392447320966117,liars_dice_1n_4s,LinearCFR,-4.05171922900728
37,0.01688636777948606,liars_dice_1n_4s,LinearCFR,-4.081248622829524
38,0.016545002241367505,liars_dice_1n_4s,LinearCFR,-4.101671202137582
39,0.015799082883064766,liars_dice_1n_4s,LinearCFR,-4.147803386009562
40,0.014481228603760068,liars_dice_1n_4s,LinearCFR,-4.234902047298011
41,0.013835738347997506,liars_dice_1n_4s,LinearCFR,-4.280500299043133
42,0.01336938744651521,liars_dice_1n_4s,LinearCFR,-4.314787704436531
43,0.013141859991832885,liars_dice_1n_4s,LinearCFR,-4.331952724053327
44,0.012444866543350183,liars_dice_1n_4s,LinearCFR,-4.386447066936419
45,0.011435103442988058,liars_dice_1n_4s,LinearCFR,-4.471067405375326
