step,exp,game_name,algorithm_name,log_exp
0,0.3333333333333333,modified_rps_3,AutoCFRS,-1.0986122886681098
20,0.1595860329699533,modified_rps_3,AutoCFRS,-1.835172110515481
40,0.08120965563950575,modified_rps_3,AutoCFRS,-2.5107211270673813
60,0.05372571010170382,modified_rps_3,AutoCFRS,-2.9238636191988205
80,0.04211770144983493,modified_rps_3,AutoCFRS,-3.1672871646718463
100,0.046436444744855004,modified_rps_3,AutoCFRS,-3.0696706809646725
120,0.03079271419593424,modified_rps_3,AutoCFRS,-3.4804771690655216
140,0.03648872539236983,modified_rps_3,AutoCFRS,-3.3107519594708026
160,0.025961537507115773,modified_rps_3,AutoCFRS,-3.651139162894038
180,0.024615222214065757,modified_rps_3,AutoCFRS,-3.704390238225244
200,0.022993767456419595,modified_rps_3,AutoCFRS,-3.7725320799304134
220,0.018814497559789173,modified_rps_3,AutoCFRS,-3.9731275595298583
240,0.017553664396608104,modified_rps_3,AutoCFRS,-4.042492553337905
260,0.016360203912575866,modified_rps_3,AutoCFRS,-4.1129034837913325
280,0.013638256335844673,modified_rps_3,AutoCFRS,-4.294876469353855
300,0.013335667937393214,modified_rps_3,AutoCFRS,-4.317313033559213
320,0.01378793332648992,modified_rps_3,AutoCFRS,-4.283961465957869
340,0.011960459945011354,modified_rps_3,AutoCFRS,-4.426149074258352
360,0.013486603604832087,modified_rps_3,AutoCFRS,-4.306058411786723
380,0.010605884322130887,modified_rps_3,AutoCFRS,-4.54634630715952
400,0.012471029995039212,modified_rps_3,AutoCFRS,-4.384346924863258
420,0.011483860254062728,modified_rps_3,AutoCFRS,-4.466812685548428
440,0.009330932554103305,modified_rps_3,AutoCFRS,-4.6744203169094884
460,0.009816579831359529,modified_rps_3,AutoCFRS,-4.62368250329369
480,0.009397278613475807,modified_rps_3,AutoCFRS,-4.6673351408267605
500,0.010569097421704948,modified_rps_3,AutoCFRS,-4.549820873313149
520,0.010763056613407762,modified_rps_3,AutoCFRS,-4.53163569271123
540,0.009570146894332693,modified_rps_3,AutoCFRS,-4.649106724175025
560,0.00904621688138435,modified_rps_3,AutoCFRS,-4.705408632823182
580,0.009015011326925781,modified_rps_3,AutoCFRS,-4.7088641658744255
600,0.009441457584301677,modified_rps_3,AutoCFRS,-4.662644905627268
620,0.008960049888577903,modified_rps_3,AutoCFRS,-4.714979484089158
640,0.009341302875388036,modified_rps_3,AutoCFRS,-4.673309542316896
660,0.01006089232366783,modified_rps_3,AutoCFRS,-4.599099418078382
680,0.007989605191231819,modified_rps_3,AutoCFRS,-4.82961393328691
700,0.010552775002190928,modified_rps_3,AutoCFRS,-4.551366420264251
720,0.010304034864520278,modified_rps_3,AutoCFRS,-4.575219726034998
740,0.009179027954365676,modified_rps_3,AutoCFRS,-4.690833967280197
760,0.008469356652397203,modified_rps_3,AutoCFRS,-4.771300729236367
780,0.008414784858660124,modified_rps_3,AutoCFRS,-4.7777650180761615
800,0.00794828464633679,modified_rps_3,AutoCFRS,-4.8347991413534865
820,0.007628911495383778,modified_rps_3,AutoCFRS,-4.87581010501831
