step,exp,game_name,algorithm_name,log_exp
0,0.3333333333333333,modified_rps_3,CFRPlus,-1.0986122886681098
20,0.06515386899927122,modified_rps_3,CFRPlus,-2.7310035911535158
40,0.029834344425180986,modified_rps_3,CFRPlus,-3.512095051596887
60,0.02058077867185143,modified_rps_3,CFRPlus,-3.8833977129532617
80,0.007462499522775751,modified_rps_3,CFRPlus,-4.897864864213067
100,0.012135731753423279,modified_rps_3,CFRPlus,-4.411601140556649
120,0.009029072836456126,modified_rps_3,CFRPlus,-4.707305592743256
140,0.007913444831064681,modified_rps_3,CFRPlus,-4.839192088711455
160,0.007798852415202812,modified_rps_3,CFRPlus,-4.85377868236677
180,0.006862600448673789,modified_rps_3,CFRPlus,-4.981668834924099
200,0.005934060324483625,modified_rps_3,CFRPlus,-5.127046591259614
220,0.005424261678564579,modified_rps_3,CFRPlus,-5.216873484934659
240,0.005203286379930894,modified_rps_3,CFRPlus,-5.258464856879656
260,0.004927162592517104,modified_rps_3,CFRPlus,-5.312991995656893
280,0.004171177371185247,modified_rps_3,CFRPlus,-5.479556939812879
300,0.004299013179229372,modified_rps_3,CFRPlus,-5.449369775822687
320,0.0038111732953237942,modified_rps_3,CFRPlus,-5.569818185722312
340,0.0037544876050000786,modified_rps_3,CFRPlus,-5.584803459801451
360,0.0030507760998272626,modified_rps_3,CFRPlus,-5.792359261772249
380,0.0016563770294833746,modified_rps_3,CFRPlus,-6.403122574124244
400,0.001460606678367643,modified_rps_3,CFRPlus,-6.528903396443351
420,0.003020349902626729,modified_rps_3,CFRPlus,-5.802382592509888
440,0.0028783718487118415,modified_rps_3,CFRPlus,-5.850530475002102
460,0.0025086322212005407,modified_rps_3,CFRPlus,-5.988017606160349
480,0.0022371145360412237,modified_rps_3,CFRPlus,-6.1025683970511855
500,0.0013515293227308878,modified_rps_3,CFRPlus,-6.606518496048887
520,0.0023135976592097707,modified_rps_3,CFRPlus,-6.068951537752687
540,0.0024716433552633976,modified_rps_3,CFRPlus,-6.0028720235559145
560,0.0023505265145595533,modified_rps_3,CFRPlus,-6.053115927172496
580,0.0011036918987623046,modified_rps_3,CFRPlus,-6.809094447284582
600,0.0014661405872913313,modified_rps_3,CFRPlus,-6.5251217815540326
620,0.0019055774906601985,modified_rps_3,CFRPlus,-6.2629701716390285
640,0.002030988516080051,modified_rps_3,CFRPlus,-6.19923265071792
660,0.0010105696655807461,modified_rps_3,CFRPlus,-6.8972410818039975
680,0.0015812291300477677,modified_rps_3,CFRPlus,-6.449552803964306
700,0.0020140459385385168,modified_rps_3,CFRPlus,-6.207609675343858
720,0.0018348966646609677,modified_rps_3,CFRPlus,-6.300767112597527
740,0.000989948785517225,modified_rps_3,CFRPlus,-6.917857347974557
760,0.0017890719094398322,modified_rps_3,CFRPlus,-6.326058279936461
780,0.0015233797631014068,modified_rps_3,CFRPlus,-6.486823884148606
