step,exp,game_name,algorithm_name,log_exp
0,0.3333333333333333,modified_rps_3,DCFR,-1.0986122886681098
20,0.06512867007673515,modified_rps_3,DCFR,-2.731390426151191
40,0.014551349136796732,modified_rps_3,DCFR,-4.230071565484787
60,0.014566795738299193,modified_rps_3,DCFR,-4.229010604835153
80,0.010659693201532816,modified_rps_3,DCFR,-4.541285641002614
100,0.007729544310032199,modified_rps_3,DCFR,-4.862705368957189
120,0.005506500209060267,modified_rps_3,DCFR,-5.201826028393188
140,0.005246618703225764,modified_rps_3,DCFR,-5.250171466400533
160,0.00625940909299616,modified_rps_3,DCFR,-5.073669492415602
180,0.004065580519983736,modified_rps_3,DCFR,-5.505198736834554
200,0.0038681440369989495,modified_rps_3,DCFR,-5.554980463977133
220,0.0019034491534231368,modified_rps_3,DCFR,-6.2640876946481505
240,0.0032973638299968466,modified_rps_3,DCFR,-5.714631969146814
260,0.003056247914156124,modified_rps_3,DCFR,-5.790567287226029
280,0.0034268655395657543,modified_rps_3,DCFR,-5.676109272469045
300,0.0032750502967432704,modified_rps_3,DCFR,-5.721422052228647
320,0.0019159928310629737,modified_rps_3,DCFR,-6.25751934105687
340,0.0027397577128773776,modified_rps_3,DCFR,-5.899885788449125
360,0.002877434664407069,modified_rps_3,DCFR,-5.850856123305573
380,0.0014929178289586065,modified_rps_3,DCFR,-6.507022799475802
400,0.0021384402214569553,modified_rps_3,DCFR,-6.1476785841802055
420,0.001980665617458105,modified_rps_3,DCFR,-6.2243223203349265
440,0.002569692161120213,modified_rps_3,DCFR,-5.963969168914692
460,0.0013150380794961225,modified_rps_3,DCFR,-6.633889655979949
480,0.0017105284740446258,modified_rps_3,DCFR,-6.370952907064516
500,0.0015983179405553716,modified_rps_3,DCFR,-6.438803489879235
520,0.0014225994004951614,modified_rps_3,DCFR,-6.555269517079849
540,0.0021315738621358604,modified_rps_3,DCFR,-6.150894669703588
560,0.0010486371671017958,modified_rps_3,DCFR,-6.860263893954845
580,0.001132666527894427,modified_rps_3,DCFR,-6.783180666918677
600,0.0013645273242246514,modified_rps_3,DCFR,-6.596947192934188
620,0.00142837750047764,modified_rps_3,DCFR,-6.551216093923877
640,0.0011511810920653287,modified_rps_3,DCFR,-6.766966827069669
660,0.0011758100376788039,modified_rps_3,DCFR,-6.7457979751395465
680,0.0015194332686484513,modified_rps_3,DCFR,-6.489417863223024
700,0.0016841102352478654,modified_rps_3,DCFR,-6.386517904943473
720,0.0014153547903163755,modified_rps_3,DCFR,-6.560375044109835
740,0.0009071927329887264,modified_rps_3,DCFR,-7.005155635396848
760,0.0008615775129988124,modified_rps_3,DCFR,-7.056745531581981
780,0.0008772095989347251,modified_rps_3,DCFR,-7.038764598782367
800,0.0008320665723206833,modified_rps_3,DCFR,-7.091598105535566
820,0.0009294824162113524,modified_rps_3,DCFR,-6.980882668452017
840,0.0009638224194752909,modified_rps_3,DCFR,-6.9446034924854345
860,0.0009592775411770837,modified_rps_3,DCFR,-6.949330118092649
880,0.0009351806249286165,modified_rps_3,DCFR,-6.9747708655909415
900,0.000905066921983666,modified_rps_3,DCFR,-7.007501670055011
920,0.0008772415172547954,modified_rps_3,DCFR,-7.038728213248704
940,0.0008557670851189192,modified_rps_3,DCFR,-7.063512315671281
960,0.0008413748329464954,modified_rps_3,DCFR,-7.080473298181632
980,0.0008321333389320063,modified_rps_3,DCFR,-7.0915178668444
1000,0.0008238863656728213,modified_rps_3,DCFR,-7.10147794330154
1020,0.0008105654583200061,modified_rps_3,DCFR,-7.117778457162576
1040,0.0007845390032628352,modified_rps_3,DCFR,-7.15041426967481
1060,0.0007371975474732284,modified_rps_3,DCFR,-7.212654658987449
1080,0.0006599996074078129,modified_rps_3,DCFR,-7.323271317780627
1100,0.0006060586982119254,modified_rps_3,DCFR,-7.408533714849904
1120,0.0006318834584871369,modified_rps_3,DCFR,-7.366805581949343
1140,0.0006187868895033422,modified_rps_3,DCFR,-7.387749626459199
1160,0.0005568798603309,modified_rps_3,DCFR,-7.493161031910352
1180,0.0008148822258809696,modified_rps_3,DCFR,-7.1124669632872255
1200,0.0009830384169066397,modified_rps_3,DCFR,-6.924862357292216
1220,0.001008769723678249,modified_rps_3,DCFR,-6.899023785978206
1240,0.0008639252854249213,modified_rps_3,DCFR,-7.054024268102052
