step,exp,game_name,algorithm_name,log_exp
0,0.3333333333333333,modified_rps_3,DuelingCFR,-1.0986122886681098
20,0.03224701273089722,modified_rps_3,DuelingCFR,-3.434329868529951
40,0.007385943733962563,modified_rps_3,DuelingCFR,-4.908176580511657
60,0.004483293066945643,modified_rps_3,DuelingCFR,-5.407397442993146
80,0.003561093022039802,modified_rps_3,DuelingCFR,-5.637687752578987
100,0.0017922474166974511,modified_rps_3,DuelingCFR,-6.32428490660633
120,0.0014382166218677994,modified_rps_3,DuelingCFR,-6.544351389952154
140,0.0007244765981438139,modified_rps_3,DuelingCFR,-7.230061097423885
160,0.0012363025039510422,modified_rps_3,DuelingCFR,-6.695630205594678
180,0.0007598075208981037,modified_rps_3,DuelingCFR,-7.182445418736307
200,0.00039802982744946425,modified_rps_3,DuelingCFR,-7.828983612147586
220,0.0007159947460849414,modified_rps_3,DuelingCFR,-7.2418377289007445
240,0.0004936232033836696,modified_rps_3,DuelingCFR,-7.61373807800213
260,0.0005242217816713302,modified_rps_3,DuelingCFR,-7.553595715722804
280,9.930222705406555e-05,modified_rps_3,DuelingCFR,-9.217342559631252
300,0.00041200268400495843,modified_rps_3,DuelingCFR,-7.794480694060826
320,0.0003015740137843337,modified_rps_3,DuelingCFR,-8.10649508673509
340,0.00033160856479988454,modified_rps_3,DuelingCFR,-8.01155530632775
360,7.533950849683557e-05,modified_rps_3,DuelingCFR,-9.49350587952262
380,0.00028612359517643515,modified_rps_3,DuelingCFR,-8.1590866895282
400,0.00021320643348832213,modified_rps_3,DuelingCFR,-8.45324969029146
420,0.0002333662284028093,modified_rps_3,DuelingCFR,-8.362901542656383
440,0.00012814226431426268,modified_rps_3,DuelingCFR,-8.962369471281594
460,0.00012004842396176607,modified_rps_3,DuelingCFR,-9.027615363565062
480,0.0001769289834757659,modified_rps_3,DuelingCFR,-8.639762129202808
500,0.00014739284755391213,modified_rps_3,DuelingCFR,-8.822409103443952
520,0.00016502263651049787,modified_rps_3,DuelingCFR,-8.7094279025008
540,7.678247896386603e-05,modified_rps_3,DuelingCFR,-9.47453408232952
560,8.694718901519627e-05,modified_rps_3,DuelingCFR,-9.350209646436467
580,0.00012770102428136254,modified_rps_3,DuelingCFR,-8.96581877396059
600,0.00011113376231264294,modified_rps_3,DuelingCFR,-9.104776016281361
620,0.0001173998436098389,modified_rps_3,DuelingCFR,-9.049924982684974
640,8.386905670776379e-05,modified_rps_3,DuelingCFR,-9.38625382410687
660,2.9060990454465863e-05,modified_rps_3,DuelingCFR,-10.44611381731741
680,0.00010324574918021967,modified_rps_3,DuelingCFR,-9.17839849713801
700,8.139347888699855e-05,modified_rps_3,DuelingCFR,-9.416215400118249
720,7.051995980056347e-05,modified_rps_3,DuelingCFR,-9.559614770477825
740,8.805181973231546e-05,modified_rps_3,DuelingCFR,-9.33758505620194
760,3.541572231960388e-05,modified_rps_3,DuelingCFR,-10.248354703100413
780,4.5121433385586496e-05,modified_rps_3,DuelingCFR,-10.0061531829815
800,7.651146771131545e-05,modified_rps_3,DuelingCFR,-9.478069923643297
820,6.590721508778485e-05,modified_rps_3,DuelingCFR,-9.627262637050041
840,5.587156794739645e-05,modified_rps_3,DuelingCFR,-9.7924549306773
860,6.582316494754825e-05,modified_rps_3,DuelingCFR,-9.628538730713778
880,2.591698065371184e-05,modified_rps_3,DuelingCFR,-10.560612180390667
900,3.617367498245927e-05,modified_rps_3,DuelingCFR,-10.227178914107617
920,6.0307785980429074e-05,modified_rps_3,DuelingCFR,-9.716049341829699
940,5.221848063743928e-05,modified_rps_3,DuelingCFR,-9.860074090531368
960,4.193466369925569e-05,modified_rps_3,DuelingCFR,-10.079397777131877
980,5.397994926045757e-05,modified_rps_3,DuelingCFR,-9.82689789034415
1000,2.8636340486581924e-05,modified_rps_3,DuelingCFR,-10.460834000342414
1020,1.8555804067565962e-05,modified_rps_3,DuelingCFR,-10.894727930110585
1040,4.89357839240645e-05,modified_rps_3,DuelingCFR,-9.925001651513886
1060,3.9851892910919284e-05,modified_rps_3,DuelingCFR,-10.13034065295482
1080,4.000276020871274e-05,modified_rps_3,DuelingCFR,-10.12656210101327
1100,4.339470239253518e-05,modified_rps_3,DuelingCFR,-10.045173188996545
1120,3.484516555066208e-05,modified_rps_3,DuelingCFR,-10.264596152025756
1140,1.6911382593048918e-05,modified_rps_3,DuelingCFR,-10.987523636536322
1160,3.144110920330623e-05,modified_rps_3,DuelingCFR,-10.367394311022215
1180,3.722457777230459e-05,modified_rps_3,DuelingCFR,-10.19854132204269
1200,3.570269707792173e-05,modified_rps_3,DuelingCFR,-10.24028432363115
1220,2.734442151750005e-05,modified_rps_3,DuelingCFR,-10.50699801635365
1240,3.559822208143437e-05,modified_rps_3,DuelingCFR,-10.243214862886152
