step,exp,game_name,algorithm_name,log_exp
0,0.3333333333333333,modified_rps_3,LinearCFR,-1.0986122886681098
20,0.029060817490144025,modified_rps_3,LinearCFR,-3.5383644901226643
40,0.005272975522242346,modified_rps_3,LinearCFR,-5.245160460537819
60,0.0044518196643486,modified_rps_3,LinearCFR,-5.414442353049498
80,0.004992675443457051,modified_rps_3,LinearCFR,-5.299783351888233
100,0.002044499475733652,modified_rps_3,LinearCFR,-6.192602274587268
120,0.00240044341370213,modified_rps_3,LinearCFR,-6.032101802984251
140,0.0019304501082962056,modified_rps_3,LinearCFR,-6.250002086522352
160,0.0021614261040623084,modified_rps_3,LinearCFR,-6.136987041782044
180,0.0011467359733542681,modified_rps_3,LinearCFR,-6.770835656212754
200,0.001212627268611044,modified_rps_3,LinearCFR,-6.714965976858028
220,0.0011495446290180344,modified_rps_3,LinearCFR,-6.768389389792615
240,0.0008529653513864033,modified_rps_3,LinearCFR,-7.066791631008731
260,0.001142756448129556,modified_rps_3,LinearCFR,-6.774311998125981
280,0.0010870784193509342,modified_rps_3,LinearCFR,-6.824261530528097
300,0.0007502567119237469,modified_rps_3,LinearCFR,-7.195095127434236
320,0.0006021226210716768,modified_rps_3,LinearCFR,-7.415049443909505
340,0.0006783198276844316,modified_rps_3,LinearCFR,-7.295891659001417
360,0.0006602601532717245,modified_rps_3,LinearCFR,-7.322876628985204
380,0.0005659128603029973,modified_rps_3,LinearCFR,-7.477070448675539
400,0.000491650126555998,modified_rps_3,LinearCFR,-7.617743219327386
420,0.0005827464141151262,modified_rps_3,LinearCFR,-7.447758433451937
440,0.0006365929782163327,modified_rps_3,LinearCFR,-7.3593800733116845
460,0.0006034767103306193,modified_rps_3,LinearCFR,-7.412803109172799
480,0.0005106478329970077,modified_rps_3,LinearCFR,-7.579830377566114
500,0.0004023295983865971,modified_rps_3,LinearCFR,-7.818238908792696
520,0.0003592503787894774,modified_rps_3,LinearCFR,-7.931490978616058
540,0.0003805246490939662,modified_rps_3,LinearCFR,-7.873959601961859
560,0.0003910732245349102,modified_rps_3,LinearCFR,-7.846615740487341
580,0.0003847655037757802,modified_rps_3,LinearCFR,-7.8628764903436075
600,0.0003634082081218626,modified_rps_3,LinearCFR,-7.919983815240603
620,0.00033216409882111386,modified_rps_3,LinearCFR,-8.009881437603152
640,0.0002965490095458434,modified_rps_3,LinearCFR,-8.123298059608086
660,0.0002854311749638794,modified_rps_3,LinearCFR,-8.161509626357617
680,0.00029936366723445906,modified_rps_3,LinearCFR,-8.113851445264801
700,0.00032697189465008547,modified_rps_3,LinearCFR,-8.025636339843162
720,0.00034186898354790496,modified_rps_3,LinearCFR,-7.981082983340235
740,0.0003446528754538214,modified_rps_3,LinearCFR,-7.972972805554631
760,0.0003362769964904422,modified_rps_3,LinearCFR,-7.997575343310628
780,0.0003184469686120517,modified_rps_3,LinearCFR,-8.052054600388152
800,0.00029443254684172193,modified_rps_3,LinearCFR,-8.13046062408925
820,0.00026774258473422075,modified_rps_3,LinearCFR,-8.225484543756727
840,0.0002405226981467279,modified_rps_3,LinearCFR,-8.332696093883401
860,0.00022186190157039154,modified_rps_3,LinearCFR,-8.413455434652938
880,0.0002134820609904775,modified_rps_3,LinearCFR,-8.45195775228957
900,0.00020669745406623474,modified_rps_3,LinearCFR,-8.484254408400135
920,0.00021074750187918823,modified_rps_3,LinearCFR,-8.464849814632096
940,0.00021271510923562276,modified_rps_3,LinearCFR,-8.45555680285257
960,0.0002128118048186911,modified_rps_3,LinearCFR,-8.455102328263353
980,0.00021139916674869919,modified_rps_3,LinearCFR,-8.461762426122002
1000,0.00020874543889704,modified_rps_3,LinearCFR,-8.474395044067034
1020,0.00020495975822393264,modified_rps_3,LinearCFR,-8.492696899442167
1040,0.00020007698399054918,modified_rps_3,LinearCFR,-8.516808345526172
1060,0.00019419856019561865,modified_rps_3,LinearCFR,-8.546629416163274
1080,0.0001875759005053046,modified_rps_3,LinearCFR,-8.581326991769357
1100,0.0001805696100649623,modified_rps_3,LinearCFR,-8.619394203206268
1120,0.00017352621627433895,modified_rps_3,LinearCFR,-8.659181867546428
1140,0.0001666746432559818,modified_rps_3,LinearCFR,-8.699466889819533
1160,0.00016009973998704075,modified_rps_3,LinearCFR,-8.739713562028879
1180,0.00015377822552381515,modified_rps_3,LinearCFR,-8.77999908748381
1200,0.00014763749950760796,modified_rps_3,LinearCFR,-8.820750616361451
1220,0.0001445997109351116,modified_rps_3,LinearCFR,-8.841541247307227
1240,0.00014451943622065255,modified_rps_3,LinearCFR,-8.842096552739687
1260,0.00014440869588167038,modified_rps_3,LinearCFR,-8.842863112531557
1280,0.00014437246251089442,modified_rps_3,LinearCFR,-8.843114052524786
1300,0.00014821762795377835,modified_rps_3,LinearCFR,-8.816828905119394
1320,0.00015140211704467443,modified_rps_3,LinearCFR,-8.795571233936665
1340,0.00015377244691477943,modified_rps_3,LinearCFR,-8.780036665740367
1360,0.0001552960527852476,modified_rps_3,LinearCFR,-8.770177244840642
1380,0.0001560435940335947,modified_rps_3,LinearCFR,-8.765375140820018
1400,0.00015614569085373176,modified_rps_3,LinearCFR,-8.764721070813652
1420,0.000155748906254638,modified_rps_3,LinearCFR,-8.7672654227635
1440,0.00015498438784611324,modified_rps_3,LinearCFR,-8.77218616969145
1460,0.00015395063498649386,modified_rps_3,LinearCFR,-8.778878558974185
1480,0.00015270636066028187,modified_rps_3,LinearCFR,-8.786993691988474
1500,0.00015126941297219365,modified_rps_3,LinearCFR,-8.79644811906013
1520,0.00014962002222623783,modified_rps_3,LinearCFR,-8.807411662968777
1540,0.00014770891421964083,modified_rps_3,LinearCFR,-8.820267016696071
1560,0.00014547171289219785,modified_rps_3,LinearCFR,-8.835528903365448
1580,0.00014284965332125865,modified_rps_3,LinearCFR,-8.85371785616297
1600,0.00013981288877065734,modified_rps_3,LinearCFR,-8.875205538060431
1620,0.0001363785033113296,modified_rps_3,LinearCFR,-8.900076425331974
1640,0.0001326145457720418,modified_rps_3,LinearCFR,-8.928063789607014
1660,0.0001286266155066107,modified_rps_3,LinearCFR,-8.958596804070776
1680,0.0001245322861574416,modified_rps_3,LinearCFR,-8.990945549113038
1700,0.00012043442988021735,modified_rps_3,LinearCFR,-9.024405103508748
1720,0.0001164032136062032,modified_rps_3,LinearCFR,-9.058450414747323
1740,0.00011247043367126897,modified_rps_3,LinearCFR,-9.092820182671817
1760,0.00010863416351464261,modified_rps_3,LinearCFR,-9.12752461876858
1780,0.00010486936021311677,modified_rps_3,LinearCFR,-9.162795170898306
1800,0.00010114060440247208,modified_rps_3,LinearCFR,-9.198998886430825
1820,0.00010003761315088844,modified_rps_3,LinearCFR,-9.209964311187022
1840,9.907897558827927e-05,modified_rps_3,LinearCFR,-9.219593292634764
1860,9.808708708464176e-05,modified_rps_3,LinearCFR,-9.229654830182938
1880,9.705322984596143e-05,modified_rps_3,LinearCFR,-9.24025096867674
1900,9.635772372162954e-05,modified_rps_3,LinearCFR,-9.247443003144719
1920,9.67580092606779e-05,modified_rps_3,LinearCFR,-9.24329744642461
1940,9.702915340276119e-05,modified_rps_3,LinearCFR,-9.24049907407323
1960,9.714054172774156e-05,modified_rps_3,LinearCFR,-9.239351744289099
1980,9.707690446308925e-05,modified_rps_3,LinearCFR,-9.24000706406781
2000,9.683876606034203e-05,modified_rps_3,LinearCFR,-9.242463168020805
2020,9.643879101581265e-05,modified_rps_3,LinearCFR,-9.246602040857914
2040,9.589600298390288e-05,modified_rps_3,LinearCFR,-9.252246255943446
2060,9.523002107092449e-05,modified_rps_3,LinearCFR,-9.25921531849483
2080,9.445671711499903e-05,modified_rps_3,LinearCFR,-9.267368848334852
2100,9.358580469442934e-05,modified_rps_3,LinearCFR,-9.276631845229703
