step,exp,algorithm_name,game_name,log_exp
0,38.43119384765625,LinearCFR,subgame4,3.6488694696070127
1,38.43119384765625,LinearCFR,subgame4,3.6488694696070127
2,35.1735107421875,LinearCFR,subgame4,3.5602932635735907
3,25.09885498046875,LinearCFR,subgame4,3.2228222267891735
4,19.619384765625,LinearCFR,subgame4,2.9765180961340922
5,15.75889404296875,LinearCFR,subgame4,2.7574049070288256
6,12.335385131835938,LinearCFR,subgame4,2.512471972180237
7,9.529974975585937,LinearCFR,subgame4,2.2544420918059935
8,7.330721130371094,LinearCFR,subgame4,1.9920738917376832
9,6.055663604736328,LinearCFR,subgame4,1.8009939671577755
10,5.5426852416992185,LinearCFR,subgame4,1.7124790839974966
11,4.326469879150391,LinearCFR,subgame4,1.464751939096678
12,4.23890380859375,LinearCFR,subgame4,1.4443047001087272
13,3.6271463012695313,LinearCFR,subgame4,1.288446196203427
14,3.0531632995605467,LinearCFR,subgame4,1.1161782005504481
15,2.6505263519287108,LinearCFR,subgame4,0.9747582436444459
16,2.3523046875,LinearCFR,subgame4,0.8553955656513825
17,1.9828709411621093,LinearCFR,subgame4,0.6845457647984674
18,1.789038848876953,LinearCFR,subgame4,0.5816785197055365
19,1.8525009918212891,LinearCFR,subgame4,0.6165366135840691
20,1.802021484375,LinearCFR,subgame4,0.5889090816317217
21,1.6304762268066406,LinearCFR,subgame4,0.48887213583222827
22,1.4332191848754883,LinearCFR,subgame4,0.35992309240113496
23,1.2591425323486327,LinearCFR,subgame4,0.2304309594157794
24,1.1193017959594727,LinearCFR,subgame4,0.11270509444987728
25,1.076304817199707,LinearCFR,subgame4,0.07353370898162734
26,0.9892403030395508,LinearCFR,subgame4,-0.010818001100203024
27,0.9760396575927734,LinearCFR,subgame4,-0.024252060615052598
28,1.0036753082275391,LinearCFR,subgame4,0.003668570785327149
29,0.939148063659668,LinearCFR,subgame4,-0.06278212992575131
30,0.8518866348266602,LinearCFR,subgame4,-0.16030181872097202
31,0.8665082550048828,LinearCFR,subgame4,-0.1432836430341381
32,0.8717797470092773,LinearCFR,subgame4,-0.13721847068275117
33,0.8283683776855468,LinearCFR,subgame4,-0.1882973229493898
34,0.7985965347290039,LinearCFR,subgame4,-0.22489942354474451
35,0.7238980102539062,LinearCFR,subgame4,-0.32310476633455165
36,0.6807001113891602,LinearCFR,subgame4,-0.38463343488910823
37,0.5904639625549316,LinearCFR,subgame4,-0.5268466739031828
38,0.5621695327758789,LinearCFR,subgame4,-0.5759518148350415
39,0.551580638885498,LinearCFR,subgame4,-0.5949672335965231
40,0.5574782943725586,LinearCFR,subgame4,-0.5843317102666872
41,0.5550377655029297,LinearCFR,subgame4,-0.5887191215994986
42,0.5631644630432129,LinearCFR,subgame4,-0.574183574418835
43,0.5541538238525391,LinearCFR,subgame4,-0.590312970391719
44,0.5242215728759766,LinearCFR,subgame4,-0.645840835036584
45,0.5020797157287598,LinearCFR,subgame4,-0.6889963756247716
46,0.5094612312316894,LinearCFR,subgame4,-0.6744015210070473
47,0.5061090278625489,LinearCFR,subgame4,-0.6810031628209274
48,0.4959152412414551,LinearCFR,subgame4,-0.701350251453486
49,0.4799261474609375,LinearCFR,subgame4,-0.734123046374161
50,0.46385318756103516,LinearCFR,subgame4,-0.7681871829413177
51,0.4372918319702148,LinearCFR,subgame4,-0.8271544990587313
52,0.4148689651489258,LinearCFR,subgame4,-0.8797925552389955
53,0.3925587463378906,LinearCFR,subgame4,-0.9350690807609925
54,0.3826115417480469,LinearCFR,subgame4,-0.9607350558129876
55,0.37759990692138673,LinearCFR,subgame4,-0.9739200912113866
56,0.37662909507751463,LinearCFR,subgame4,-0.9764944085008009
57,0.38808168411254884,LinearCFR,subgame4,-0.9465394354530953
58,0.3806987190246582,LinearCFR,subgame4,-0.9657469803887916
59,0.36229732513427737,LinearCFR,subgame4,-1.0152900641216713
60,0.3420114231109619,LinearCFR,subgame4,-1.0729111415680845
61,0.3287507629394531,LinearCFR,subgame4,-1.1124553747644812
62,0.3106661605834961,LinearCFR,subgame4,-1.1690363819890637
63,0.2967076587677002,LinearCFR,subgame4,-1.2150079388479718
64,0.29398040771484374,LinearCFR,subgame4,-1.2242421542897288
65,0.2975098514556885,LinearCFR,subgame4,-1.2123079404079455
66,0.2974191665649414,LinearCFR,subgame4,-1.2126127999414447
67,0.28745479583740235,LinearCFR,subgame4,-1.2466896629768631
68,0.27173742294311526,LinearCFR,subgame4,-1.3029190357699172
69,0.2726384925842285,LinearCFR,subgame4,-1.2996085643169004
70,0.2631334686279297,LinearCFR,subgame4,-1.3350938902541771
71,0.25658552169799803,LinearCFR,subgame4,-1.3602932520167992
72,0.25050992965698243,LinearCFR,subgame4,-1.3842567198936044
73,0.24500418663024903,LinearCFR,subgame4,-1.4064799802966825
74,0.24193453788757324,LinearCFR,subgame4,-1.419088094015223
75,0.24186691284179687,LinearCFR,subgame4,-1.419367651036455
76,0.23580673217773437,LinearCFR,subgame4,-1.4447427409143494
77,0.23142395973205565,LinearCFR,subgame4,-1.4635039270932777
78,0.23079405784606932,LinearCFR,subgame4,-1.4662294905805369
79,0.23255521774291993,LinearCFR,subgame4,-1.4586275864838851
80,0.23406497955322267,LinearCFR,subgame4,-1.4521565117748905
81,0.23168693542480467,LinearCFR,subgame4,-1.4623682348702502
82,0.22500762939453126,LinearCFR,subgame4,-1.4916209689324555
83,0.21845217704772948,LinearCFR,subgame4,-1.521188157748659
84,0.20759672164916992,LinearCFR,subgame4,-1.5721579194857582
85,0.19705684661865233,LinearCFR,subgame4,-1.6242630303540135
86,0.19196269989013673,LinearCFR,subgame4,-1.6504541972330273
87,0.18991355895996093,LinearCFR,subgame4,-1.6611862631864058
88,0.1863521909713745,LinearCFR,subgame4,-1.6801168958339308
89,0.18535492420196534,LinearCFR,subgame4,-1.6854827826923515
90,0.18295604705810548,LinearCFR,subgame4,-1.6985093349989067
91,0.17684076309204103,LinearCFR,subgame4,-1.7325055948782306
92,0.17086644172668458,LinearCFR,subgame4,-1.7668730701861177
93,0.17122029781341552,LinearCFR,subgame4,-1.7648042603081635
94,0.1755059814453125,LinearCFR,subgame4,-1.7400821543475324
95,0.1778626823425293,LinearCFR,subgame4,-1.7267434739226917
96,0.18278413772583008,LinearCFR,subgame4,-1.699449397655882
97,0.1832687282562256,LinearCFR,subgame4,-1.696801742857824
98,0.17910825252532958,LinearCFR,subgame4,-1.7197648932253173
99,0.17174157619476318,LinearCFR,subgame4,-1.761764395983459
100,0.16054750919342042,LinearCFR,subgame4,-1.8291653727779826
101,0.15048324584960937,LinearCFR,subgame4,-1.89390352424851
102,0.1482765007019043,LinearCFR,subgame4,-1.9086765002368782
103,0.14838781356811523,LinearCFR,subgame4,-1.907926070434031
104,0.1497243118286133,LinearCFR,subgame4,-1.8989595970778506
105,0.15223341464996337,LinearCFR,subgame4,-1.8823403133015861
106,0.1532588768005371,LinearCFR,subgame4,-1.875626782185662
107,0.15150290012359618,LinearCFR,subgame4,-1.887150511485925
108,0.14419418811798096,LinearCFR,subgame4,-1.9365943592571147
109,0.13451023101806642,LinearCFR,subgame4,-2.0061150157843737
110,0.1326996374130249,LinearCFR,subgame4,-2.0196670700288317
111,0.13306515216827391,LinearCFR,subgame4,-2.016916404778655
112,0.1338021421432495,LinearCFR,subgame4,-2.0113931213769343
113,0.1389423704147339,LinearCFR,subgame4,-1.9736960331551907
114,0.13970511436462402,LinearCFR,subgame4,-1.9682214037642545
115,0.13566003799438475,LinearCFR,subgame4,-1.99760324339359
116,0.13026922225952148,LinearCFR,subgame4,-2.0381520295098654
117,0.12529000282287597,LinearCFR,subgame4,-2.0771242061939397
118,0.12263643264770507,LinearCFR,subgame4,-2.0985311328414378
119,0.12351021766662598,LinearCFR,subgame4,-2.091431392193665
120,0.1262067413330078,LinearCFR,subgame4,-2.06983391244903
121,0.12939250946044922,LinearCFR,subgame4,-2.0449047852952478
122,0.131086106300354,LinearCFR,subgame4,-2.0319008717053157
123,0.12887170314788818,LinearCFR,subgame4,-2.0489379187538956
124,0.12491215229034423,LinearCFR,subgame4,-2.080144570423888
125,0.11977827548980713,LinearCFR,subgame4,-2.1221129495628115
126,0.11436439990997314,LinearCFR,subgame4,-2.168365438064107
127,0.10833892345428467,LinearCFR,subgame4,-2.222490785535327
128,0.10717160701751709,LinearCFR,subgame4,-2.2333239253382375
129,0.10894767761230469,LinearCFR,subgame4,-2.2168875339058522
130,0.11131291389465332,LinearCFR,subgame4,-2.195409999626731
131,0.11298204898834228,LinearCFR,subgame4,-2.1805263313993914
132,0.111065092086792,LinearCFR,subgame4,-2.1976388343476803
133,0.10755730628967285,LinearCFR,subgame4,-2.2297314916876285
134,0.10591346740722657,LinearCFR,subgame4,-2.2451328634761225
135,0.10621612548828124,LinearCFR,subgame4,-2.2422793409449953
136,0.10629819869995118,LinearCFR,subgame4,-2.2415069392157108
137,0.1055688190460205,LinearCFR,subgame4,-2.2483922254973936
138,0.10687310218811036,LinearCFR,subgame4,-2.236113109187106
139,0.10623356342315673,LinearCFR,subgame4,-2.242115180338275
140,0.09907568454742431,LinearCFR,subgame4,-2.311871230543444
141,0.09357932090759277,LinearCFR,subgame4,-2.3689458503817593
142,0.09096048355102539,LinearCFR,subgame4,-2.3973301134697147
143,0.09073533535003662,LinearCFR,subgame4,-2.3998084128338744
144,0.09210647106170654,LinearCFR,subgame4,-2.384810076932768
145,0.0937264060974121,LinearCFR,subgame4,-2.367375314099667
146,0.0949156379699707,LinearCFR,subgame4,-2.3547668032748827
147,0.09537071228027344,LinearCFR,subgame4,-2.349983746820344
148,0.09502830028533936,LinearCFR,subgame4,-2.3535805340039038
149,0.09320666313171387,LinearCFR,subgame4,-2.3729360670165343
150,0.09073352813720703,LinearCFR,subgame4,-2.399828330441721
151,0.08822224140167237,LinearCFR,subgame4,-2.4278961776719354
152,0.08722648859024047,LinearCFR,subgame4,-2.43924722595873
153,0.089097900390625,LinearCFR,subgame4,-2.418019509422474
154,0.08999632358551025,LinearCFR,subgame4,-2.407986458536103
155,0.08884513139724731,LinearCFR,subgame4,-2.420860521636929
156,0.08814445972442626,LinearCFR,subgame4,-2.428778222658799
157,0.08726205825805664,LinearCFR,subgame4,-2.4388395239180936
158,0.08454644918441773,LinearCFR,subgame4,-2.4704542011555315
159,0.08152706146240235,LinearCFR,subgame4,-2.5068202713657612
160,0.07967187404632568,LinearCFR,subgame4,-2.529838653256678
161,0.07983983039855957,LinearCFR,subgame4,-2.5277327712477233
162,0.08085282802581788,LinearCFR,subgame4,-2.515124714896452
163,0.08284843921661376,LinearCFR,subgame4,-2.4907423739519063
164,0.08428444623947144,LinearCFR,subgame4,-2.473557935867297
165,0.08232915878295899,LinearCFR,subgame4,-2.497029935348696
166,0.07894148111343384,LinearCFR,subgame4,-2.5390484464021195
167,0.07692106246948242,LinearCFR,subgame4,-2.564975545701174
168,0.07683118343353272,LinearCFR,subgame4,-2.566144686947336
169,0.07793767929077149,LinearCFR,subgame4,-2.55184575510159
170,0.07918385982513428,LinearCFR,subgame4,-2.5359827910164667
171,0.07963099479675292,LinearCFR,subgame4,-2.530351880052491
172,0.07912853479385376,LinearCFR,subgame4,-2.5366817259756136
173,0.077987961769104,LinearCFR,subgame4,-2.551200800497155
174,0.07588595390319824,LinearCFR,subgame4,-2.5785236722702947
175,0.07332836627960206,LinearCFR,subgame4,-2.612807756142719
176,0.07091928243637086,LinearCFR,subgame4,-2.6462129157577894
177,0.06924953699111938,LinearCFR,subgame4,-2.6700388199858587
178,0.06886077404022217,LinearCFR,subgame4,-2.675668580353319
179,0.06927494525909424,LinearCFR,subgame4,-2.669671978430531
180,0.06966110467910766,LinearCFR,subgame4,-2.664113156014585
181,0.06952563285827637,LinearCFR,subgame4,-2.6660597763033733
182,0.06916803598403931,LinearCFR,subgame4,-2.6712164308158544
183,0.06927742004394531,LinearCFR,subgame4,-2.6696362549718096
184,0.06915348768234253,LinearCFR,subgame4,-2.6714267856668537
185,0.06892032384872436,LinearCFR,subgame4,-2.674804168425666
186,0.06917657852172851,LinearCFR,subgame4,-2.6710929343179157
187,0.06941681146621705,LinearCFR,subgame4,-2.6676262006575655
188,0.06880135774612427,LinearCFR,subgame4,-2.6765317995555264
189,0.06726823806762695,LinearCFR,subgame4,-2.6990670992360997
190,0.06547542810440063,LinearCFR,subgame4,-2.7260803501691013
191,0.06336069583892823,LinearCFR,subgame4,-2.758911549229955
192,0.06101090431213379,LinearCFR,subgame4,-2.7967026715690424
193,0.06000324726104736,LinearCFR,subgame4,-2.8133565972070698
194,0.06039814472198486,LinearCFR,subgame4,-2.8067968910365595
195,0.060763990879058837,LinearCFR,subgame4,-2.8007579207410895
196,0.06068311214447022,LinearCFR,subgame4,-2.802089838004353
197,0.060482640266418454,LinearCFR,subgame4,-2.805398892865002
198,0.060240345001220705,LinearCFR,subgame4,-2.809412968395001
199,0.06003369092941284,LinearCFR,subgame4,-2.812849358860655
